Date,Open,High,Low,Close,Volume,Amount
2020-07-01,8.70,8.78,8.51,8.76,27717,242800.92
2020-07-02,8.76,8.80,8.62,8.80,29725,261580.00
2020-07-03,8.88,9.50,8.81,9.29,108155,1004759.95
2020-07-06,9.26,9.50,9.26,9.35,68875,643981.25
2020-07-07,9.26,9.26,9.07,9.20,29509,271482.80
2020-07-08,10.10,10.10,10.10,10.10,171568,1732836.80
2020-07-09,11.10,11.10,11.10,11.10,139621,1549793.10
2020-07-10,12.00,12.00,10.30,10.30,534502,5505370.60
2020-07-13,10.75,11.30,10.40,11.30,278622,3148428.60
2020-07-14,11.40,11.40,10.70,10.90,257416,2805834.40
2020-07-15,10.90,11.35,10.85,10.85,305848,3318450.80
2020-07-16,10.85,10.90,10.35,10.70,122518,1310942.60
2020-07-17,10.40,10.55,10.00,10.15,207389,2104998.35
2020-07-20,10.10,10.20,9.96,10.20,31000,316200.00
2020-07-21,10.35,10.35,10.10,10.15,34000,345100.00
2020-07-22,10.40,10.75,10.40,10.60,115279,1221957.40
2020-07-23,10.90,10.90,10.40,10.40,49800,517920.00
2020-07-24,10.60,10.60,9.91,10.00,50975,509750.00
2020-07-27,10.00,10.20,9.62,9.70,37809,366747.30
2020-07-28,9.89,10.15,9.75,9.80,37006,362658.80
2020-07-29,9.85,9.99,9.85,9.99,24261,242367.39
2020-07-30,10.00,10.15,9.90,10.15,41325,419448.75
2020-07-31,10.40,10.45,10.15,10.30,26420,272126.00
2020-08-03,10.30,10.50,10.30,10.40,42226,439150.40
2020-08-04,10.40,10.50,10.20,10.40,39157,407232.80
2020-08-05,10.40,11.35,10.30,11.00,162311,1785421.00
2020-08-06,11.00,11.00,10.40,10.40,70429,732461.60
2020-08-07,10.40,10.70,10.30,10.30,40285,414935.50
2020-08-10,10.50,10.85,10.50,10.75,43018,462443.50
2020-08-11,10.95,10.95,10.20,10.50,68202,716121.00
2020-08-12,10.50,10.55,10.20,10.40,35239,366485.60
2020-08-13,10.35,10.45,10.20,10.45,16024,167450.80
2020-08-14,10.35,10.80,10.35,10.75,31334,336840.50
2020-08-17,9.78,10.15,9.78,9.95,132461,1317986.95
2020-08-18,9.89,10.05,9.78,10.05,53120,533856.00
2020-08-19,9.90,10.00,9.90,10.00,57403,574030.00
2020-08-20,9.85,9.85,9.70,9.80,26004,254839.20
2020-08-21,9.84,10.10,9.84,10.00,29593,295930.00
2020-08-24,9.95,10.00,9.90,9.90,11008,108979.20
2020-08-25,9.91,9.91,9.90,9.90,16822,166537.80
2020-08-26,10.15,10.15,9.80,9.99,8795,87862.05
2020-08-27,10.05,10.10,10.00,10.00,19028,190280.00
2020-08-28,9.81,10.05,9.81,10.00,7250,72500.00
2020-08-31,10.05,10.05,10.05,10.05,1286,12924.30
2020-09-01,10.00,10.00,10.00,10.00,12805,128050.00
2020-09-02,10.20,10.20,9.80,10.00,16250,162500.00
2020-09-03,10.05,10.10,9.94,9.94,36001,357849.94
2020-09-04,9.90,10.00,9.90,10.00,39525,395250.00
2020-09-07,10.15,10.30,10.15,10.15,39482,400742.30
2020-09-08,10.15,10.20,10.15,10.15,9157,92943.55
2020-09-09,10.20,10.25,9.93,10.25,9031,92567.75
2020-09-10,11.25,11.25,11.25,11.25,187010,2103862.50
2020-09-11,11.35,12.35,11.35,12.35,1166163,14402113.05
2020-09-14,13.00,13.55,12.60,13.55,578350,7836642.50
2020-09-15,14.30,14.90,14.00,14.90,1179631,17576501.90
2020-09-16,15.35,16.35,14.70,16.35,1579687,25827882.45
2020-09-17,16.15,17.00,15.30,16.90,637176,10768274.40
2020-09-18,17.50,17.50,16.20,16.25,566583,9206973.75
2020-09-21,16.40,16.60,15.50,16.00,466438,7463008.00
2020-09-22,15.75,15.95,15.05,15.60,351839,5488688.40
2020-09-23,15.55,17.15,15.30,17.15,741330,12713809.50
2020-09-24,16.95,17.15,15.70,15.70,484012,7598988.40
2020-09-25,14.15,15.00,14.15,14.15,696006,9848484.90
2020-09-28,14.30,14.70,14.30,14.40,249120,3587328.00
2020-09-29,14.40,15.00,14.10,14.75,187197,2761155.75
2020-09-30,14.75,15.15,14.60,14.90,219695,3273455.50
2020-10-05,14.85,15.00,14.10,14.25,210283,2996532.75
2020-10-06,14.25,15.65,14.25,15.65,570233,8924146.45
2020-10-07,15.15,16.30,15.15,15.60,587264,9161318.40
2020-10-08,15.70,16.10,15.50,15.50,235432,3649196.00
2020-10-12,15.95,17.05,15.95,17.05,538649,9183965.45
2020-10-13,17.50,18.75,17.50,18.75,500494,9384262.50
2020-10-14,20.25,20.25,19.00,20.00,1145567,22911340.00
2020-10-15,20.05,20.10,18.05,18.50,742022,13727407.00
2020-10-16,18.85,18.85,17.35,17.35,508236,8817894.60
2020-10-19,17.35,17.75,17.20,17.35,146375,2539606.25
2020-10-20,17.35,17.80,17.30,17.50,172002,3010035.00
2020-10-21,17.80,17.80,17.15,17.20,300001,5160017.20
2020-10-22,17.30,17.30,16.60,16.70,201500,3365050.00
2020-10-23,16.70,18.35,16.65,18.35,372812,6841100.20
2020-10-26,19.10,20.15,19.05,20.15,1169548,23566392.20
2020-10-27,19.15,20.00,18.35,18.60,801714,14911880.40
2020-10-28,18.20,19.50,18.20,19.40,330886,6419188.40
2020-10-29,17.80,19.10,17.80,18.45,331012,6107171.40
2020-10-30,18.50,19.05,18.45,18.55,221240,4104002.00
2020-11-02,18.55,18.55,17.50,17.80,197696,3518988.80
2020-11-03,17.80,19.00,17.80,18.05,292545,5280437.25
2020-11-04,18.05,19.50,18.05,18.80,217592,4090729.60
2020-11-05,19.00,19.20,18.00,18.65,240033,4476615.45
2020-11-06,18.60,19.20,18.25,18.55,213782,3965656.10
2020-11-09,18.55,19.15,18.55,18.60,187410,3485826.00
2020-11-10,18.70,19.00,18.35,18.35,169950,3118582.50
2020-11-11,18.35,20.15,17.05,17.60,935907,16471963.20
2020-11-12,16.60,16.70,15.85,15.90,1030858,16390642.20
2020-11-13,15.90,16.25,15.40,15.85,158370,2510164.50
2020-11-16,15.65,15.70,14.50,15.00,390400,5856000.00
2020-11-17,15.10,15.45,14.80,15.25,150876,2300859.00
2020-11-18,15.25,15.55,15.25,15.30,114012,1744383.60
2020-11-19,16.40,16.40,15.60,16.20,193925,3141585.00
2020-11-20,16.35,16.40,15.50,15.75,158088,2489886.00
2020-11-23,15.75,16.00,15.50,15.95,147412,2351221.40
2020-11-24,15.95,16.00,15.65,15.70,59428,933019.60
2020-11-25,15.60,16.00,15.25,15.50,97987,1518798.50
2020-11-26,15.30,15.55,15.20,15.50,63319,981444.50
2020-11-27,15.50,15.65,15.30,15.65,60287,943491.55
2020-11-30,15.45,15.60,15.40,15.45,88042,1360248.90
2020-12-01,16.35,16.35,15.50,15.55,44246,688025.30
2020-12-02,15.55,15.90,15.40,15.65,52673,824332.45
2020-12-03,15.85,15.85,15.45,15.60,67186,1048101.60
2020-12-04,15.45,15.65,15.25,15.45,91176,1408669.20
2020-12-07,15.50,15.50,15.15,15.35,97626,1498559.10
2020-12-08,15.35,15.45,15.10,15.30,50943,779427.90
2020-12-09,16.80,16.80,16.10,16.80,485640,8158752.00
2020-12-10,17.50,17.75,16.70,17.00,548151,9318567.00
2020-12-11,17.00,17.00,15.85,15.85,232540,3685759.00
2020-12-14,15.85,16.30,15.50,16.20,88196,1428775.20
2020-12-15,16.70,16.70,15.80,15.80,41277,652176.60
2020-12-16,15.80,16.15,15.80,15.90,51044,811599.60
2020-12-17,16.30,16.40,16.05,16.30,85982,1401506.60
2020-12-18,16.30,16.30,15.80,15.80,78038,1233000.40
2020-12-21,15.80,16.05,15.70,15.80,51014,806021.20
2020-12-22,16.00,16.00,15.70,15.70,40213,631344.10
2020-12-23,16.00,16.00,15.60,15.85,35510,562833.50
2020-12-24,15.60,15.85,15.50,15.70,30443,477955.10
2020-12-25,15.70,15.75,15.45,15.60,64474,1005794.40
2020-12-28,16.00,16.05,15.45,15.50,109543,1697916.50
2020-12-29,15.80,15.80,15.45,15.45,47010,726304.50
2020-12-30,15.70,15.80,15.50,15.60,58164,907358.40
2020-12-31,15.60,15.60,15.30,15.60,149225,2327910.00
2021-01-04,15.60,15.75,15.10,15.50,75264,1166592.00
2021-01-05,15.30,15.40,15.20,15.25,33294,507733.50
