Date,Open,High,Low,Close,Volume,Amount
2020-07-01,11.05,11.40,10.85,11.00,81000,891000.00
2020-07-02,11.00,11.10,10.90,11.10,22482,249550.20
2020-07-03,11.00,11.15,11.00,11.10,30160,334776.00
2020-07-06,11.10,11.65,11.05,11.35,108211,1228194.85
2020-07-07,11.35,11.35,11.25,11.25,4000,45000.00
2020-07-08,11.25,11.25,11.10,11.15,22000,245300.00
2020-07-09,11.15,11.20,11.15,11.20,3568,39961.60
2020-07-10,11.15,11.25,11.10,11.10,33070,367077.00
2020-07-13,11.00,11.25,11.00,11.20,28867,323310.40
2020-07-14,11.15,11.15,11.10,11.10,11000,122100.00
2020-07-15,11.10,11.20,10.95,11.10,113063,1254999.30
2020-07-16,11.05,11.10,11.00,11.05,55000,607750.00
2020-07-17,11.00,11.00,11.00,11.00,21224,233464.00
2020-07-20,11.00,11.05,11.00,11.05,20162,222790.10
2020-07-21,11.05,11.85,11.00,11.65,232001,2702811.65
2020-07-22,11.70,11.70,11.25,11.30,124880,1411144.00
2020-07-23,11.30,11.30,11.20,11.25,19000,213750.00
2020-07-24,11.10,11.10,11.00,11.00,36000,396000.00
2020-07-27,10.95,11.00,10.80,10.90,54799,597309.10
2020-07-28,10.80,10.95,10.80,10.90,11800,128620.00
2020-07-29,11.00,11.00,11.00,11.00,1001,11011.00
2020-07-30,10.85,10.90,10.80,10.90,51344,559649.60
2020-07-31,11.00,11.00,10.90,10.90,15850,172765.00
2020-08-03,10.85,11.00,10.85,11.00,6687,73557.00
2020-08-04,11.00,11.15,11.00,11.10,143000,1587300.00
2020-08-05,11.10,11.50,11.10,11.50,29575,340112.50
2020-08-06,12.65,12.65,12.65,12.65,259250,3279512.50
2020-08-07,12.65,13.75,12.65,13.00,641588,8340644.00
2020-08-10,13.00,13.00,12.60,12.60,116100,1462860.00
2020-08-11,12.65,13.40,12.60,13.00,100221,1302873.00
2020-08-12,13.00,13.00,12.75,12.80,85001,1088012.80
2020-08-13,12.95,13.55,12.90,13.50,287897,3886609.50
2020-08-14,13.40,13.40,12.50,13.15,231996,3050747.40
2020-08-17,13.15,14.25,13.00,14.00,481711,6743954.00
2020-08-18,14.45,14.45,13.35,13.85,433100,5998435.00
2020-08-19,13.85,13.90,13.30,13.40,189100,2533940.00
2020-08-20,13.60,13.60,12.50,12.90,135004,1741551.60
2020-08-21,13.00,13.35,13.00,13.05,51214,668342.70
2020-08-24,13.45,13.70,13.20,13.20,211211,2787985.20
2020-08-25,13.40,13.65,13.40,13.40,112396,1506106.40
2020-08-26,13.40,13.40,13.10,13.20,61020,805464.00
2020-08-27,13.10,13.15,13.00,13.05,78642,1026278.10
2020-08-28,13.05,14.05,13.05,13.65,353006,4818531.90
2020-08-31,13.95,13.95,13.55,13.70,183059,2507908.30
2020-09-01,13.75,13.75,13.60,13.70,34364,470786.80
2020-09-02,13.65,13.65,13.45,13.60,366706,4987201.60
2020-09-03,13.70,13.80,13.60,13.75,435128,5983010.00
2020-09-04,13.65,13.65,13.45,13.65,276000,3767400.00
2020-09-07,13.60,13.70,13.50,13.60,183001,2488813.60
2020-09-08,13.60,13.60,13.40,13.50,67579,912316.50
2020-09-09,13.50,13.50,13.20,13.45,95218,1280682.10
2020-09-10,13.50,13.50,13.30,13.45,88606,1191750.70
2020-09-11,13.50,13.50,13.05,13.15,34004,447152.60
2020-09-14,13.15,13.15,12.95,13.10,96443,1263403.30
2020-09-15,13.00,13.00,12.85,12.95,106023,1372997.85
2020-09-16,12.95,12.95,12.60,12.85,92044,1182765.40
2020-09-17,12.80,12.90,12.70,12.80,54462,697113.60
2020-09-18,12.90,13.05,12.75,13.00,64435,837655.00
2020-09-21,13.00,13.05,13.00,13.05,123835,1616046.75
2020-09-22,13.00,13.00,12.90,12.90,26500,341850.00
2020-09-23,12.85,12.90,12.60,12.70,56000,711200.00
2020-09-24,12.70,12.85,12.60,12.60,48972,617047.20
2020-09-25,12.60,12.65,12.30,12.50,38200,477500.00
2020-09-28,12.60,12.85,12.60,12.80,12147,155481.60
2020-09-29,12.80,13.15,12.60,12.60,21029,264965.40
2020-09-30,12.60,12.60,12.55,12.55,7000,87850.00
2020-10-05,12.65,12.95,12.55,12.70,40633,516039.10
2020-10-06,12.85,12.85,12.65,12.70,30002,381025.40
2020-10-07,12.65,12.70,12.55,12.70,31000,393700.00
2020-10-08,12.70,12.70,12.70,12.70,20000,254000.00
2020-10-12,12.85,12.85,12.55,12.55,48002,602425.10
2020-10-13,12.50,12.75,12.50,12.70,33000,419100.00
2020-10-14,12.65,12.65,12.30,12.60,151829,1913045.40
2020-10-15,12.65,12.85,12.50,12.60,34000,428400.00
