Date,Open,High,Low,Close,Volume,Amount
2020-07-01,258.00,281.00,257.00,275.00,3270007,899251925.00
2020-07-02,287.00,302.50,284.00,302.50,3118261,943273952.50
2020-07-03,318.00,320.00,295.00,295.50,4275788,1263495354.00
2020-07-06,304.50,318.00,299.50,310.50,2718994,844247637.00
2020-07-07,312.50,337.00,305.00,320.50,3657047,1172083563.50
2020-07-08,324.00,350.00,324.00,349.00,2665613,930298937.00
2020-07-09,370.00,383.50,363.00,375.00,3880638,1455239250.00
2020-07-10,374.00,384.00,358.00,366.00,3367259,1232416794.00
2020-07-13,377.50,385.00,367.50,368.00,1916887,705414416.00
2020-07-14,365.00,378.50,360.00,370.00,1550830,573807100.00
2020-07-15,376.50,407.00,373.50,374.00,5505432,2059031568.00
2020-07-16,378.00,398.00,376.00,394.50,3913920,1544041440.00
2020-07-17,407.00,418.50,355.50,356.00,4126680,1469098080.00
2020-07-20,365.00,372.50,340.50,343.00,2212923,759032589.00
2020-07-21,349.00,377.00,349.00,377.00,2431653,916733181.00
2020-07-22,376.00,394.00,369.00,369.00,2731966,1008095454.00
2020-07-23,373.00,381.50,369.00,369.50,1128458,416965231.00
2020-07-24,362.00,379.50,352.00,355.00,1910893,678367015.00
2020-07-27,374.00,382.00,368.00,379.00,2632517,997723943.00
2020-07-28,386.00,404.00,361.00,370.00,3977380,1471630600.00
2020-07-29,376.00,377.50,360.00,375.00,1064603,399226125.00
2020-07-30,383.00,385.00,371.00,378.00,1152573,435672594.00
2020-07-31,374.50,385.00,374.00,382.00,873942,333845844.00
2020-08-03,382.00,384.00,375.00,375.00,690395,258898125.00
2020-08-04,385.00,387.50,378.00,382.00,1018012,388880584.00
2020-08-05,385.00,394.00,381.00,384.50,1880701,723129534.50
2020-08-06,390.00,416.50,389.50,392.00,3146568,1233454656.00
2020-08-07,390.00,393.50,384.50,388.00,742428,288062064.00
2020-08-10,384.50,388.00,367.00,372.00,1112526,413859672.00
2020-08-11,370.00,374.00,353.00,358.50,1205000,431992500.00
2020-08-12,358.50,358.50,340.00,342.00,954226,326345292.00
2020-08-13,349.50,359.00,337.00,338.00,1023375,345900750.00
2020-08-14,339.50,348.00,330.00,348.00,689006,239774088.00
2020-08-17,352.00,354.00,343.00,345.50,432328,149369324.00
2020-08-18,349.50,349.50,326.00,329.00,876491,288365539.00
2020-08-19,330.00,333.50,314.00,318.00,972730,309328140.00
2020-08-20,312.50,315.50,286.50,293.00,1714916,502470388.00
2020-08-21,300.00,312.00,291.00,309.50,1514167,468634686.50
2020-08-24,309.50,315.00,300.00,315.00,753562,237372030.00
2020-08-25,317.00,323.00,312.00,319.50,892177,285050551.50
2020-08-26,320.50,351.00,320.50,351.00,1948836,684041436.00
2020-08-27,367.00,377.50,355.00,363.00,3310904,1201858152.00
2020-08-28,359.00,375.00,350.50,370.00,1494778,553067860.00
2020-08-31,375.00,376.50,359.00,359.00,721201,258911159.00
2020-09-01,361.00,367.50,356.00,357.00,550483,196522431.00
2020-09-02,364.00,370.00,358.00,358.00,797409,285472422.00
2020-09-03,362.00,372.00,360.00,367.00,979238,359380346.00
2020-09-04,358.00,360.00,350.50,354.00,821461,290797194.00
2020-09-07,353.00,358.00,329.50,332.50,721482,239892765.00
2020-09-08,339.00,353.00,332.50,350.00,905797,317028950.00
2020-09-09,340.00,353.50,336.00,349.00,503266,175639834.00
2020-09-10,354.00,359.00,345.50,349.00,841291,293610559.00
2020-09-11,352.00,369.50,346.00,365.00,1586765,579169225.00
2020-09-14,368.00,384.00,362.00,365.00,2625237,958211505.00
2020-09-15,370.00,382.00,368.00,378.50,1560926,590810491.00
2020-09-16,393.00,393.50,382.00,388.50,2252191,874976203.50
2020-09-17,392.50,404.50,387.00,404.50,2441513,987592008.50
2020-09-18,399.00,403.00,388.00,389.00,1753245,682012305.00
2020-09-21,389.00,394.00,376.50,377.00,993398,374511046.00
2020-09-22,380.00,383.00,372.00,372.00,1020206,379516632.00
2020-09-23,375.00,380.00,372.00,373.00,448216,167184568.00
2020-09-24,369.00,373.00,361.00,361.00,479094,172952934.00
2020-09-25,364.00,370.00,339.00,354.50,903196,320182982.00
2020-09-28,362.00,362.00,352.00,354.50,426087,151047841.50
2020-09-29,357.00,372.00,357.00,367.50,945579,347500282.50
2020-09-30,368.50,378.00,362.50,376.00,583780,219501280.00
2020-10-05,376.00,382.00,373.00,374.50,412328,154416836.00
2020-10-06,380.50,388.00,376.00,377.50,668610,252400275.00
2020-10-07,380.00,383.00,376.00,378.50,330036,124918626.00
2020-10-08,385.00,392.00,381.50,386.00,838323,323592678.00
2020-10-12,390.00,395.00,380.00,381.00,556343,211966683.00
2020-10-13,383.50,384.00,373.00,377.50,384119,145004922.50
2020-10-14,377.50,389.00,376.00,388.00,462726,179537688.00
2020-10-15,385.50,400.00,384.50,400.00,1075708,430283200.00
2020-10-16,398.50,398.50,374.50,375.00,1470908,551590500.00
2020-10-19,377.50,385.00,374.00,378.50,411210,155642985.00
2020-10-20,378.50,378.50,372.00,375.00,193030,72386250.00
2020-10-21,377.50,378.00,374.50,374.50,171216,64120392.00
2020-10-22,374.50,374.50,366.50,369.00,112241,41416929.00
2020-10-23,373.00,377.50,370.00,374.00,166132,62133368.00
2020-10-26,378.00,378.00,366.50,367.00,179228,65776676.00
2020-10-27,363.00,369.00,360.00,366.00,215125,78735750.00
2020-10-28,365.00,373.00,363.00,363.00,178804,64905852.00
