Date,Open,High,Low,Close,Volume,Amount
2020-07-01,40.50,41.05,40.50,41.00,44034,1805394.00
2020-07-02,41.75,41.80,41.00,41.35,42222,1745879.70
2020-07-03,41.55,41.70,41.40,41.50,75224,3121796.00
2020-07-06,42.00,42.55,42.00,42.15,134503,5669301.45
2020-07-07,42.65,42.85,42.30,42.70,173020,7387954.00
2020-07-08,42.85,46.65,42.85,46.20,477216,22047379.20
2020-07-09,46.25,49.00,46.25,48.35,346400,16748440.00
2020-07-10,47.50,47.50,45.60,46.10,407500,18785750.00
2020-07-13,46.05,46.05,44.50,45.30,204136,9247360.80
2020-07-14,44.50,45.25,43.00,43.85,209082,9168245.70
2020-07-15,43.90,45.00,43.90,44.90,57100,2563790.00
2020-07-16,44.90,45.00,43.10,43.85,119783,5252484.55
2020-07-17,45.00,45.00,43.05,43.65,92000,4015800.00
2020-07-20,42.70,43.55,42.00,43.55,105001,4572793.55
2020-07-21,44.00,44.50,43.40,43.85,55000,2411750.00
2020-07-22,43.15,44.50,43.15,44.25,43100,1907175.00
2020-07-23,44.30,44.50,44.25,44.45,49080,2181606.00
2020-07-24,44.00,44.10,43.30,43.30,97040,4201832.00
2020-07-27,43.60,43.65,42.50,42.50,102040,4336700.00
2020-07-28,42.80,42.80,39.10,40.25,186220,7495355.00
2020-07-29,40.40,40.90,40.25,40.30,48366,1949149.80
2020-07-30,40.30,41.00,40.30,40.80,47080,1920864.00
2020-07-31,40.55,41.15,40.55,41.15,24100,991715.00
2020-08-03,41.70,42.00,41.40,42.00,74453,3127026.00
2020-08-04,42.00,42.70,41.90,42.15,118857,5009822.55
2020-08-05,42.20,42.45,41.50,41.70,51100,2130870.00
2020-08-06,42.00,42.00,41.55,41.60,48774,2028998.40
2020-08-07,42.00,42.10,41.60,41.60,178157,7411331.20
2020-08-10,41.80,43.00,41.80,42.75,132040,5644710.00
2020-08-11,42.55,42.70,41.60,42.00,98426,4133892.00
2020-08-12,41.65,42.45,41.60,42.45,30000,1273500.00
2020-08-13,42.50,43.65,42.10,42.50,187000,7947500.00
2020-08-14,43.60,44.25,43.35,43.35,99264,4303094.40
2020-08-17,43.50,43.50,42.05,42.05,128001,5382442.05
2020-08-18,42.05,42.30,41.30,42.30,34280,1450044.00
2020-08-19,41.50,42.10,41.50,41.55,58000,2409900.00
