Date,Open,High,Low,Close,Volume,Amount
2024-10-30,0.00,76.30,57.00,69.00,432717,29857473.00
2024-11-01,66.30,65.90,54.70,61.50,249428,15339822.00
2024-11-04,58.18,61.40,52.80,56.20,171312,9627734.40
2024-11-05,55.10,55.00,51.30,52.90,361695,19133665.50
2024-11-06,52.96,52.50,49.75,50.00,219805,10990250.00
2024-11-07,50.16,51.10,49.00,51.00,231632,11813232.00
2024-11-08,49.87,52.10,49.80,50.50,211277,10669488.50
2024-11-11,50.46,51.00,49.70,51.00,415561,21193611.00
2024-11-12,50.11,50.70,49.85,50.60,70271,3555712.60
2024-11-13,50.13,54.50,49.00,54.50,354537,19322266.50
2024-11-14,50.92,57.30,50.00,55.00,1568380,86260900.00
2024-11-15,50.65,57.00,52.80,56.20,130961,7360008.20
2024-11-18,55.42,56.00,53.30,54.00,107513,5805702.00
2024-11-19,54.35,55.00,53.70,54.20,33755,1829521.00
2024-11-20,54.18,54.20,52.50,53.00,58695,3110835.00
2024-11-21,53.06,53.10,52.40,52.90,16078,850526.20
2024-11-22,52.69,53.00,52.30,52.30,17200,899560.00
2024-11-25,52.58,52.10,51.80,52.00,16780,872560.00
2024-11-26,51.94,52.40,49.90,51.60,77010,3973716.00
2024-11-27,51.01,53.00,52.00,52.60,22520,1184552.00
2024-11-28,52.26,52.80,52.30,52.30,12000,627600.00
2024-11-29,52.58,51.40,51.00,51.30,5770,296001.00
2024-12-02,51.30,52.20,51.30,52.20,26201,1367692.20
2024-12-03,51.70,54.50,52.20,54.20,96139,5210733.80
2024-12-04,53.61,53.00,51.80,52.30,74632,3903253.60
2024-12-05,52.17,55.20,52.00,55.00,40044,2202420.00
2024-12-06,53.70,63.50,54.20,57.30,124037,7107320.10
2024-12-09,57.22,61.10,56.00,59.00,199686,11781474.00
2024-12-10,58.56,60.00,57.20,59.00,62600,3693400.00
2024-12-11,59.04,61.00,59.20,59.80,70210,4198558.00
2024-12-12,60.34,59.80,58.00,58.60,38655,2265183.00
2024-12-13,59.26,59.20,57.50,57.50,27925,1605687.50
2024-12-16,57.88,57.50,55.00,55.90,26450,1478555.00
2024-12-17,56.54,56.00,55.00,55.50,21100,1171050.00
2024-12-18,55.52,57.00,55.50,57.00,30210,1721970.00
2024-12-19,56.14,56.50,56.00,56.20,17291,971754.20
2024-12-20,56.01,57.50,56.00,57.00,32151,1832607.00
2024-12-23,56.82,57.40,55.50,56.80,14531,825360.80
2024-12-24,56.73,57.70,56.80,57.70,32360,1867172.00
2024-12-25,57.36,57.90,57.30,57.60,25451,1465977.60
2024-12-26,57.55,57.20,55.90,56.50,39461,2229546.50
2024-12-27,56.73,56.70,56.00,56.50,27110,1531715.00
2024-12-30,56.36,56.70,56.20,56.20,11403,640848.60
2024-12-31,56.47,56.70,56.00,56.70,32000,1814400.00
2025-01-02,56.47,56.50,56.10,56.20,12000,674400.00
2025-01-03,56.30,56.20,55.90,56.10,29000,1626900.00
2025-01-06,56.03,56.50,56.10,56.30,13000,731900.00
2025-01-07,56.28,56.70,56.00,56.70,42800,2426760.00
2025-01-08,56.27,56.50,56.10,56.10,13500,757350.00
2025-01-09,56.19,56.40,55.70,55.70,18950,1055515.00
2025-01-10,56.06,55.90,55.70,55.70,9300,518010.00
2025-01-13,55.85,57.30,56.00,56.50,40602,2294013.00
2025-01-14,56.54,60.50,56.70,58.80,66813,3928604.40
2025-01-15,59.15,59.00,57.20,57.50,23760,1366200.00
2025-01-16,58.04,58.20,57.00,57.20,18000,1029600.00
2025-01-17,57.36,57.50,56.60,57.20,13430,768196.00
2025-01-20,57.00,57.50,56.00,57.00,17070,972990.00
2025-01-21,56.89,57.40,56.30,56.50,30200,1706300.00
2025-01-22,56.64,57.00,56.00,57.00,13010,741570.00
2025-02-03,56.50,58.30,56.00,57.00,33028,1882596.00
2025-02-04,57.01,59.50,57.10,59.50,103559,6161760.50
2025-02-05,57.83,60.20,58.00,58.50,35790,2093715.00
2025-02-06,58.51,59.00,57.20,58.90,33749,1987816.10
2025-02-07,57.73,65.10,58.50,62.60,240291,15042216.60
2025-02-10,61.55,62.60,59.60,60.80,115578,7027142.40
2025-02-11,60.68,61.00,55.40,59.10,83773,4950984.30
2025-02-12,58.24,59.10,56.00,58.00,86984,5045072.00
2025-02-13,57.75,58.20,56.80,57.40,52013,2985546.20
2025-02-14,57.53,58.60,57.30,57.30,46701,2675967.30
2025-02-17,57.89,59.00,57.70,58.50,49371,2888203.50
2025-02-18,58.41,58.70,58.00,58.70,33201,1948898.70
2025-02-19,58.39,58.50,57.90,58.50,23200,1357200.00
2025-02-20,58.20,58.20,57.80,58.20,15701,913798.20
2025-02-21,58.06,60.20,57.80,60.20,28085,1690717.00
2025-02-24,58.08,58.50,58.00,58.30,15300,891990.00
2025-02-25,58.19,58.40,58.00,58.40,31700,1851280.00
2025-02-26,58.21,58.70,58.20,58.60,20008,1172468.80
2025-02-27,58.42,58.70,58.10,58.30,32363,1886762.90
2025-03-03,58.37,58.30,57.80,58.30,16993,990691.90
2025-03-04,58.10,58.50,57.50,58.30,16211,945101.30
2025-03-05,58.08,58.50,58.10,58.40,11251,657058.40
2025-03-06,58.27,58.50,58.00,58.50,75401,4410958.50
2025-03-07,58.10,58.20,57.80,58.00,132658,7694164.00
2025-03-10,57.92,58.20,57.90,58.20,13950,811890.00
2025-03-11,58.05,58.20,57.00,57.70,36045,2079796.50
2025-03-12,57.55,58.10,57.30,57.70,18410,1062257.00
2025-03-13,57.57,58.20,57.30,58.00,41528,2408624.00
2025-03-14,58.05,58.20,57.60,57.60,32000,1843200.00
2025-03-17,58.00,58.00,56.80,57.70,28072,1619754.40
2025-03-18,57.48,58.40,58.00,58.30,21120,1231296.00
2025-03-19,58.22,58.20,57.60,58.20,7420,431844.00
2025-03-20,58.11,58.20,57.90,58.00,12410,719780.00
2025-03-21,58.09,59.30,57.90,59.00,43647,2575173.00
2025-03-24,58.47,60.50,59.10,60.50,102086,6176203.00
2025-03-25,59.88,62.70,60.00,60.70,61496,3732807.20
2025-03-26,60.98,61.50,58.60,59.50,49643,2953758.50
2025-03-27,59.72,59.90,58.80,59.90,3698,221510.20
2025-03-28,59.53,60.00,57.00,57.30,68726,3937999.80
2025-03-31,58.47,57.90,55.00,55.00,88341,4858755.00
2025-04-01,55.91,58.20,56.10,57.50,21742,1250165.00
2025-04-02,57.25,58.50,58.00,58.50,7010,410085.00
2025-04-07,58.07,54.90,47.50,48.00,150922,7244256.00
2025-04-08,48.81,49.65,48.85,48.85,33066,1615274.10
2025-04-09,49.14,49.65,48.50,49.00,36358,1781542.00
2025-04-10,49.28,54.90,49.65,54.40,57829,3145897.60
2025-04-11,53.69,54.40,53.00,53.90,54459,2935340.10
2025-04-14,54.02,55.00,54.10,54.10,13330,721153.00
2025-04-15,54.50,55.00,54.50,54.50,18214,992663.00
2025-04-16,54.64,55.00,54.30,54.50,13021,709644.50
2025-04-17,54.40,54.50,53.80,54.20,25070,1358794.00
2025-04-18,54.10,54.00,53.80,54.00,5020,271080.00
2025-04-21,53.88,54.20,53.50,54.00,6020,325080.00
2025-04-22,53.98,53.40,52.80,53.20,13750,731500.00
2025-04-23,53.13,55.00,54.10,54.90,19000,1043100.00
2025-04-24,54.46,55.90,55.90,55.90,1,55.90
2025-04-25,55.90,57.50,55.50,57.50,10292,591790.00
2025-04-28,55.96,56.80,56.00,56.50,19750,1115875.00
2025-04-29,56.22,56.50,56.50,56.50,2000,113000.00
2025-04-30,56.50,57.40,56.00,57.40,101,5797.40
2025-05-02,56.01,56.10,55.50,56.00,5150,288400.00
2025-05-05,55.83,55.20,55.00,55.00,11319,622545.00
2025-05-06,55.09,55.20,55.00,55.20,24600,1357920.00
2025-05-07,55.09,55.20,54.90,55.20,6613,365037.60
2025-05-08,55.06,55.00,55.00,55.00,534,29370.00
2025-05-09,55.00,55.00,55.00,55.00,6000,330000.00
2025-05-12,55.00,55.40,55.00,55.40,6500,360100.00
2025-05-13,55.21,55.00,54.80,55.00,2400,132000.00
2025-05-14,54.88,56.80,55.80,56.50,33600,1898400.00
2025-05-15,56.22,56.20,56.20,56.20,2,112.40
2025-05-16,56.20,56.30,56.10,56.20,7000,393400.00
2025-05-19,56.20,58.30,56.70,58.30,3031,176707.30
2025-05-20,56.70,58.20,57.20,57.90,21695,1256140.50
2025-05-21,57.91,58.00,56.80,57.20,34348,1964705.60
2025-05-22,57.08,57.00,56.30,57.00,11501,655557.00
2025-05-23,56.86,59.20,58.00,59.20,49190,2912048.00
2025-05-26,58.91,59.80,59.10,59.20,33122,1960822.40
2025-05-27,59.45,59.40,58.40,58.60,31300,1834180.00
2025-05-28,58.79,58.80,58.30,58.70,10001,587058.70
2025-05-29,58.59,58.70,58.20,58.20,8000,465600.00
2025-06-02,58.46,58.70,56.90,57.10,10416,594753.60
2025-06-03,57.13,58.00,57.80,57.80,3222,186231.60
2025-06-04,57.93,58.70,58.00,58.70,25118,1474426.60
2025-06-05,58.47,58.80,58.30,58.30,3090,180147.00
2025-06-06,58.59,58.70,58.00,58.70,15090,885783.00
2025-06-09,58.24,60.00,58.10,59.30,49575,2939797.50
2025-06-10,58.87,60.50,58.80,58.80,31027,1824387.60
2025-06-11,59.32,58.20,57.10,57.80,13102,757295.60
2025-06-12,58.02,58.90,57.00,58.60,63828,3740320.80
2025-06-13,57.93,58.00,57.60,57.80,17200,994160.00
2025-06-16,57.85,59.50,57.00,59.50,49150,2924425.00
2025-06-17,58.12,60.00,58.10,59.00,12524,738916.00
2025-06-18,58.97,0.00,0.00,0.00,0,0.00
2025-06-19,58.97,59.40,58.10,59.00,18050,1064950.00
2025-06-20,59.17,59.70,58.80,59.00,28505,1681795.00
2025-06-23,59.38,58.00,58.00,58.00,1191,69078.00
2025-06-24,58.00,60.00,58.50,59.90,27022,1618617.80
2025-06-25,59.24,60.20,58.30,58.30,32121,1872654.30
2025-06-26,59.82,60.10,58.40,58.60,19313,1131741.80
2025-06-27,59.00,60.20,58.80,59.00,7002,413118.00
2025-06-30,59.53,59.90,58.80,58.80,1004,59035.20
2025-07-01,58.80,60.00,58.80,58.80,2001,117658.80
2025-07-02,59.15,59.50,58.70,59.50,7201,428459.50
2025-07-03,59.09,60.10,58.50,60.00,45000,2700000.00
2025-07-04,59.45,60.20,58.50,59.50,26141,1555389.50
2025-07-07,59.34,63.00,59.80,63.00,115599,7282737.00
2025-07-08,60.55,61.60,60.00,61.30,59082,3621726.60
2025-07-09,60.70,63.00,60.10,62.00,107151,6643362.00
2025-07-10,61.76,63.00,61.50,61.80,22033,1361639.40
2025-07-11,62.63,63.50,62.40,63.20,54039,3415264.80
2025-07-14,62.80,65.20,62.00,65.20,51609,3364906.80
2025-07-15,63.46,69.30,63.90,66.00,226544,14951904.00
2025-07-16,66.54,66.40,63.10,63.50,93815,5957252.50
2025-07-17,64.81,63.50,59.80,62.00,58156,3605672.00
2025-07-18,61.71,64.30,61.10,61.10,17376,1061673.60
2025-07-21,61.49,63.00,62.00,62.50,12690,793125.00
2025-07-22,62.71,63.10,62.00,63.10,3857,243376.70
2025-07-23,62.75,61.50,61.00,61.00,4400,268400.00
