Date,Open,High,Low,Close,Volume,Amount
2020-07-01,8.58,8.63,8.21,8.63,9505,82028.15
2020-07-02,8.27,8.6,8.17,8.2,67500,553500.0
2020-07-03,8.24,8.67,8.24,8.4,28000,235200.0
2020-07-06,8.59,10.2,8.7,9.4,146121,1373537.4
2020-07-07,9.45,10.8,9.4,10.6,336603,3567991.8
2020-07-08,10.31,12.6,10.3,11.1,597748,6635002.8
2020-07-09,11.25,11.45,10.5,10.9,173656,1892850.4
2020-07-10,10.79,11.05,10.15,10.3,351200,3617360.0
2020-07-13,10.6,10.8,10.3,10.8,102141,1103122.8
2020-07-14,10.44,10.75,10.3,10.3,79059,814307.7
2020-07-15,10.48,10.5,10.3,10.3,39000,401700.0
2020-07-16,10.36,10.6,10.3,10.6,8481,89898.6
2020-07-17,10.4,10.6,9.69,9.7,160637,1558178.9
2020-07-20,10.02,10.1,9.65,9.65,26000,250900.0
2020-07-21,9.7,10.15,9.7,10.0,12000,120000.0
2020-07-22,9.94,10.1,9.7,9.7,30001,291009.7
2020-07-23,9.88,10.15,9.7,10.15,44000,446600.0
2020-07-24,9.87,10.25,9.7,10.25,227041,2327170.25
2020-07-27,10.19,10.3,9.79,9.79,16000,156640.0
2020-07-28,10.22,9.9,9.6,9.6,46002,441619.2
2020-07-29,9.75,9.85,9.7,9.85,60001,591009.85
2020-07-30,9.75,9.85,9.6,9.6,34001,326409.6
2020-07-31,9.75,9.8,9.5,9.75,63771,621767.25
2020-08-03,9.73,9.75,9.6,9.75,76140,742365.0
2020-08-04,9.71,10.0,9.7,10.0,88243,882430.0
2020-08-05,9.74,10.1,9.7,10.1,45000,454500.0
2020-08-06,9.75,9.95,9.6,9.95,24200,240790.0
2020-08-07,9.73,10.0,9.6,9.75,103835,1012391.25
2020-08-10,9.71,10.9,10.1,10.4,287178,2986651.2
2020-08-11,10.51,10.15,10.05,10.15,18052,183227.8
2020-08-12,10.12,0.0,0.0,0.0,0,0.0
2020-08-13,10.12,10.0,9.74,9.74,33890,330088.6
2020-08-14,9.88,10.0,9.6,10.0,86002,860020.0
2020-08-17,9.8,10.15,9.6,9.8,65191,638871.8
2020-08-18,9.73,9.6,9.6,9.6,1000,9600.0
2020-08-19,9.6,0.0,0.0,0.0,0,0.0
2020-08-20,9.6,10.0,9.55,9.55,7002,66869.1
2020-08-21,9.59,10.0,9.8,10.0,29001,290010.0
2020-08-24,9.8,9.7,9.5,9.7,18000,174600.0
2020-08-25,9.59,9.65,9.59,9.59,10000,95900.0
2020-08-26,9.62,0.0,0.0,0.0,0,0.0
2020-08-27,9.62,10.0,10.0,10.0,1003,10030.0
2020-08-28,10.0,10.3,9.55,10.3,86002,885820.6
2020-08-31,10.08,10.4,10.05,10.35,76000,786600.0
2020-09-01,10.25,10.6,10.0,10.3,76517,788125.1
