Date,Open,High,Low,Close,Volume,Amount
2020-07-01,64.5,65.6,64.2,65.4,103000,6736200.0
2020-07-02,65.5,67.1,65.5,66.7,225673,15052389.1
2020-07-03,66.7,67.7,66.5,67.1,175805,11796515.5
2020-07-06,68.5,68.5,67.1,67.9,220736,14987974.4
2020-07-07,68.9,68.9,67.5,67.6,204350,13814060.0
2020-07-08,67.6,68.1,67.6,68.0,109827,7468236.0
2020-07-09,68.5,68.5,67.5,68.0,211972,14414096.0
2020-07-10,68.1,68.3,66.8,67.8,207848,14092094.4
2020-07-13,68.1,68.4,67.9,68.1,264655,18023005.5
2020-07-14,68.3,68.3,67.9,68.0,266800,18142400.0
2020-07-15,68.0,68.1,67.2,67.5,474210,32009175.0
2020-07-16,61.5,61.5,60.2,60.5,445056,26925888.0
2020-07-17,60.2,60.7,58.6,58.7,201731,11841609.7
2020-07-20,58.5,58.5,56.1,56.6,190298,10770866.8
2020-07-21,56.4,56.6,56.0,56.0,168340,9427040.0
2020-07-22,56.2,57.2,56.1,56.6,115759,6551959.4
2020-07-23,56.8,57.3,56.8,57.0,40400,2302800.0
2020-07-24,57.2,57.2,56.2,56.6,58227,3295648.2
2020-07-27,56.6,56.6,54.5,54.5,149000,8120500.0
2020-07-28,55.8,55.8,52.9,53.1,133500,7088850.0
2020-07-29,53.0,53.0,51.4,52.9,102268,5409977.2
2020-07-30,52.9,54.3,52.9,54.0,45049,2432646.0
2020-07-31,54.1,54.3,53.7,53.7,46643,2504729.1
2020-08-03,53.6,53.6,52.4,53.0,312315,16552695.0
2020-08-04,53.4,53.4,52.0,52.9,160058,8467068.2
2020-08-05,53.1,53.2,52.4,53.0,145020,7686060.0
2020-08-06,53.2,53.2,52.0,52.6,285306,15007095.6
2020-08-07,52.6,52.6,52.0,52.6,100000,5260000.0
2020-08-10,53.7,54.5,52.0,52.4,312022,16349952.8
2020-08-11,52.5,52.9,52.0,52.3,204061,10672390.3
2020-08-12,52.4,52.7,52.0,52.1,106600,5553860.0
2020-08-13,52.1,52.5,51.3,51.3,158000,8105400.0
2020-08-14,51.4,51.4,50.6,51.0,182457,9305307.0
2020-08-17,51.0,51.7,50.5,51.5,118639,6109908.5
2020-08-18,51.8,53.5,51.8,53.1,203540,10807974.0
2020-08-19,54.0,55.2,53.5,54.6,277414,15146804.4
2020-08-20,54.6,55.6,52.1,52.5,173003,9082657.5
2020-08-21,52.6,54.0,52.6,54.0,52014,2808756.0
2020-08-24,54.0,54.1,53.6,53.9,37621,2027771.9
2020-08-25,53.9,54.5,53.9,54.5,79145,4313402.5
2020-08-26,53.7,54.5,53.7,54.5,97040,5288680.0
2020-08-27,54.5,55.5,54.2,54.9,118015,6479023.5
2020-08-28,54.9,56.3,54.9,56.3,159102,8957442.6
2020-08-31,57.0,57.0,55.7,56.7,118100,6696270.0
2020-09-01,56.7,56.7,55.8,55.8,46018,2567804.4
2020-09-02,56.0,56.1,55.3,55.8,40302,2248851.6
2020-09-03,55.9,55.9,54.5,54.5,89007,4850881.5
2020-09-04,54.3,55.0,53.0,55.0,35002,1925110.0
2020-09-07,55.0,55.0,53.8,54.7,53080,2903476.0
2020-09-08,54.5,54.8,54.0,54.4,26202,1425388.8
2020-09-09,54.4,56.6,54.4,56.5,261106,14752489.0
2020-09-10,57.0,57.7,56.2,57.3,180021,10315203.3
2020-09-11,57.0,57.9,56.2,56.9,117160,6666404.0
2020-09-14,57.0,57.2,56.5,56.5,72115,4074497.5
2020-09-15,56.5,56.6,56.0,56.2,57256,3217787.2
2020-09-16,56.1,56.5,56.1,56.5,74200,4192300.0
2020-09-17,56.4,57.0,56.4,56.9,45017,2561467.3
2020-09-18,56.9,56.9,56.2,56.9,33337,1896875.3
2020-09-21,56.8,56.9,56.4,56.5,40337,2279040.5
2020-09-22,56.5,56.5,54.9,55.2,62057,3425546.4
2020-09-23,54.5,54.8,53.5,53.6,157136,8422489.6
2020-09-24,53.7,53.7,52.8,53.2,32000,1702400.0
2020-09-25,53.1,53.2,51.6,51.8,86101,4460031.8
2020-09-28,52.0,54.5,52.0,54.1,44089,2385214.9
2020-09-29,53.6,55.1,53.6,54.6,41030,2240238.0
2020-09-30,54.6,55.3,54.5,55.0,53110,2921050.0
2020-10-05,55.1,55.1,54.8,55.0,26216,1441880.0
2020-10-06,55.0,55.0,54.5,54.8,12330,675684.0
2020-10-07,54.3,54.8,54.2,54.8,19052,1044049.6
2020-10-08,54.4,54.8,54.4,54.8,7316,400916.8
2020-10-12,54.8,54.8,54.2,54.5,22200,1209900.0
2020-10-13,53.8,54.0,53.0,53.4,57013,3044494.2
2020-10-14,53.3,53.3,52.7,52.9,40083,2120390.7
2020-10-15,52.7,52.8,52.4,52.4,37017,1939690.8
2020-10-16,52.2,52.5,51.4,52.1,85001,4428552.1
2020-10-19,52.0,52.0,51.8,52.0,34321,1784692.0
2020-10-20,52.0,53.0,51.8,52.3,27053,1414871.9
2020-10-21,52.4,52.4,51.5,51.7,41001,2119751.7
2020-10-22,51.8,52.2,51.8,52.1,8068,420342.8
2020-10-23,52.2,53.4,52.2,52.7,34055,1794698.5
2020-10-26,53.0,53.1,52.5,52.7,39072,2059094.4
2020-10-27,52.7,52.7,52.0,52.2,28250,1474650.0
2020-10-28,52.9,52.9,52.3,52.3,6053,316571.9
2020-10-29,51.7,52.3,51.6,52.3,12062,630842.6
2020-10-30,52.1,52.1,52.0,52.0,8007,416364.0
2020-11-02,52.0,52.0,51.4,51.6,39264,2026022.4
2020-11-03,51.6,52.2,51.6,52.2,15246,795841.2
2020-11-04,52.3,52.4,51.9,52.3,18100,946630.0
2020-11-05,52.4,52.4,52.2,52.3,18455,965196.5
2020-11-06,52.6,52.6,52.2,52.3,22301,1166342.3
2020-11-09,52.3,54.1,52.3,54.0,142454,7692516.0
2020-11-10,54.7,55.1,54.1,54.5,66008,3597436.0
2020-11-11,54.9,54.9,54.5,54.5,71965,3922092.5
2020-11-12,54.7,58.0,54.5,57.0,238001,13566057.0
2020-11-13,57.4,57.4,55.9,56.1,137135,7693273.5
2020-11-16,56.2,56.9,55.9,56.2,122145,6864549.0
2020-11-17,56.4,56.4,56.0,56.0,42002,2352112.0
2020-11-18,56.0,56.0,55.5,55.8,46091,2571877.8
2020-11-19,55.8,56.0,55.5,55.8,44001,2455255.8
2020-11-20,56.1,56.9,55.8,56.9,61296,3487742.4
2020-11-23,57.0,57.4,57.0,57.4,101000,5797400.0
2020-11-24,57.4,57.4,57.0,57.3,70502,4039764.6
2020-11-25,57.3,57.4,57.0,57.2,62120,3553264.0
2020-11-26,57.5,57.5,57.0,57.1,36168,2065192.8
2020-11-27,57.1,57.4,57.0,57.2,55352,3166134.4
2020-11-30,57.2,59.6,57.2,58.9,270308,15921141.2
2020-12-01,58.9,58.9,57.3,58.2,69428,4040709.6
2020-12-02,58.5,60.0,58.2,58.6,108948,6384352.8
2020-12-03,58.7,58.7,57.6,58.2,69369,4037275.8
2020-12-04,58.0,58.0,57.6,57.7,28444,1641218.8
2020-12-07,57.9,57.9,57.2,57.3,45635,2614885.5
2020-12-08,57.2,57.9,56.9,57.5,49829,2865167.5
2020-12-09,58.0,59.0,58.0,58.6,119138,6981486.8
2020-12-10,58.3,58.5,58.1,58.5,42301,2474608.5
2020-12-11,58.6,58.8,58.3,58.7,88657,5204165.9
2020-12-14,58.7,59.0,58.6,58.9,55501,3269008.9
2020-12-15,59.0,59.0,58.0,58.1,56167,3263302.7
2020-12-16,59.0,59.0,58.0,58.5,52221,3054928.5
2020-12-17,58.6,58.7,58.3,58.5,43601,2550658.5
2020-12-18,58.3,58.3,58.1,58.3,27011,1574741.3
2020-12-21,58.0,58.0,57.2,57.3,49062,2811252.6
2020-12-22,57.3,57.3,56.7,56.8,56032,3182617.6
2020-12-23,55.6,56.5,55.6,56.3,27559,1551571.7
2020-12-24,56.4,56.5,56.0,56.3,33092,1863079.6
2020-12-25,56.3,57.5,56.2,57.5,51053,2935547.5
2020-12-28,56.8,57.0,56.5,56.6,46107,2609656.2
2020-12-29,56.6,57.9,56.5,57.2,47148,2696865.6
2020-12-30,57.2,57.5,56.7,57.0,38315,2183955.0
2020-12-31,56.9,56.9,56.3,56.7,22222,1259987.4
2021-01-04,56.7,57.0,56.1,57.0,41232,2350224.0
2021-01-05,56.6,59.0,56.6,58.5,201820,11806470.0
2021-01-06,58.5,59.0,56.8,57.4,98546,5656540.4
2021-01-07,57.4,57.5,57.0,57.2,78135,4469322.0
2021-01-08,57.1,57.2,56.8,57.2,49154,2811608.8
2021-01-11,57.0,57.0,56.7,56.8,50049,2842783.2
2021-01-12,56.2,56.2,54.0,54.7,273608,14966357.6
2021-01-13,54.5,54.5,53.9,53.9,100044,5392371.6
2021-01-14,54.0,54.3,53.8,54.0,62289,3363606.0
2021-01-15,54.0,54.0,52.5,52.5,118654,6229335.0
2021-01-18,52.0,52.5,50.0,52.2,74246,3875641.2
2021-01-19,52.5,52.5,52.2,52.3,45075,2357422.5
2021-01-20,52.3,52.3,49.85,49.85,352653,17579752.05
2021-01-21,49.95,51.0,49.8,49.8,87521,4358545.8
2021-01-22,49.75,49.75,49.55,49.7,74464,3700860.8
2021-01-25,49.6,49.6,47.6,48.5,174513,8463880.5
2021-01-26,48.0,48.1,47.8,48.1,61675,2966567.5
2021-01-27,48.0,48.5,48.0,48.5,44355,2151217.5
2021-01-28,48.5,48.5,47.7,48.0,50324,2415552.0
2021-01-29,48.1,48.9,48.1,48.35,25070,1212134.5
2021-02-01,48.35,48.35,47.85,48.1,441115,21217631.5
2021-02-02,48.2,48.4,47.65,48.25,167030,8059197.5
2021-02-03,48.25,48.3,47.5,48.25,84111,4058355.75
2021-02-04,48.0,48.2,47.5,48.1,90813,4368105.3
2021-02-05,47.55,48.0,47.4,47.95,87050,4174047.5
2021-02-17,47.95,48.0,46.95,47.5,587892,27924870.0
2021-02-18,47.55,47.65,47.0,47.65,193704,9229995.6
2021-02-19,47.65,47.65,46.8,47.2,320061,15106879.2
2021-02-22,47.2,47.3,46.0,47.3,425136,20108932.8
2021-02-23,47.3,48.6,47.0,48.6,457911,22254474.6
2021-02-24,48.9,51.0,48.9,50.8,726602,36911381.6
2021-02-25,51.1,51.2,49.5,50.0,355965,17798250.0
2021-02-26,49.75,49.75,48.7,49.6,197612,9801555.2
2021-03-02,50.0,50.9,49.15,50.3,133606,6720381.8
2021-03-03,50.3,50.3,49.2,49.7,111006,5516998.2
2021-03-04,50.0,50.0,49.1,49.75,95517,4751970.75
2021-03-05,49.75,49.75,48.7,48.8,119237,5818765.6
2021-03-08,49.1,50.2,49.1,50.0,120827,6041350.0
2021-03-09,50.2,50.6,49.9,50.6,326563,16524087.8
2021-03-10,50.7,50.8,49.8,50.0,448813,22440650.0
2021-03-11,50.4,50.5,49.5,50.0,314234,15711700.0
2021-03-12,50.0,50.0,49.0,49.55,243819,12081231.45
2021-03-15,49.6,51.9,49.55,51.6,456514,23556122.4
2021-03-16,51.8,52.8,51.7,52.5,366776,19255740.0
2021-03-17,52.7,53.0,52.5,52.6,157342,8276189.2
2021-03-18,52.6,53.0,52.0,52.9,188650,9979585.0
2021-03-19,52.9,53.2,52.7,53.2,110911,5900465.2
2021-03-22,53.4,55.7,53.2,54.8,332175,18203190.0
2021-03-23,55.0,55.3,54.0,54.3,266981,14497068.3
2021-03-24,54.2,54.2,53.5,53.9,179345,9666695.5
2021-03-25,54.0,56.2,53.9,56.0,376439,21080584.0
2021-03-26,56.5,56.9,54.7,55.1,440928,24295132.8
2021-03-29,55.1,55.1,54.6,54.9,118634,6513006.6
2021-03-30,54.9,55.0,54.4,55.0,154663,8506465.0
2021-03-31,54.9,55.2,54.5,55.2,127185,7020612.0
2021-04-01,55.2,55.6,54.6,55.1,115559,6367300.9
2021-04-06,54.8,54.9,54.5,54.6,94792,5175643.2
2021-04-07,54.5,54.5,54.1,54.4,63563,3457827.2
2021-04-08,54.4,54.6,54.2,54.5,85215,4644217.5
2021-04-09,55.0,55.3,53.6,55.0,254177,13979735.0
2021-04-12,55.4,55.5,53.7,53.7,275066,14771044.2
2021-04-13,53.8,54.1,53.8,53.8,95138,5118424.4
2021-04-14,53.8,54.0,52.8,53.4,149879,8003538.6
2021-04-15,53.4,53.4,53.2,53.3,42638,2272605.4
2021-04-16,53.3,54.0,52.4,52.4,216091,11323168.4
2021-04-19,52.2,52.3,50.9,51.1,575013,29383164.3
2021-04-20,51.2,51.7,50.9,51.2,360300,18447360.0
2021-04-21,51.5,52.3,51.5,52.2,90823,4740960.6
2021-04-22,52.3,52.3,51.1,51.2,198472,10161766.4
2021-04-23,51.2,51.5,51.0,51.2,94385,4832512.0
2021-04-26,51.2,51.3,50.4,50.9,183304,9330173.6
2021-04-27,51.0,51.1,50.7,51.0,117387,5986737.0
2021-04-28,51.1,52.9,50.8,52.3,249984,13074163.2
2021-04-29,52.3,52.8,51.7,51.8,90359,4680596.2
2021-05-03,51.5,51.5,49.7,50.1,307985,15430048.5
2021-05-04,50.0,50.1,49.1,49.45,166902,8253303.9
2021-05-05,49.25,50.8,49.1,49.65,66147,3284198.55
2021-05-06,50.0,50.1,49.75,49.95,43089,2152295.55
2021-05-07,50.0,50.5,50.0,50.5,41325,2086912.5
2021-05-10,51.0,52.5,50.8,52.1,189770,9887017.0
2021-05-11,52.0,52.0,50.3,50.5,94390,4766695.0
2021-05-12,50.0,50.4,48.0,48.6,219953,10689715.8
2021-05-13,47.05,48.95,47.05,48.4,88000,4259200.0
2021-05-14,48.4,48.65,48.1,48.15,102083,4915296.45
2021-05-17,47.0,47.2,45.7,45.7,140521,6421809.7
2021-05-18,46.5,47.95,46.5,47.75,56387,2692479.25
2021-05-19,47.75,48.2,47.75,47.8,31206,1491646.8
2021-05-20,47.7,48.0,47.7,48.0,27520,1320960.0
2021-05-21,48.0,48.6,48.0,48.05,45053,2164796.65
2021-05-24,48.05,48.2,47.9,48.2,51136,2464755.2
2021-05-25,48.5,49.0,48.5,48.85,41111,2008272.35
2021-05-26,48.8,49.25,48.7,48.75,41253,2011083.75
2021-05-27,48.75,48.75,47.9,47.95,79700,3821615.0
2021-05-28,48.0,48.6,47.95,48.5,39802,1930397.0
2021-05-31,48.55,49.1,48.5,48.7,35594,1733427.8
2021-06-01,48.95,48.95,48.15,48.7,46114,2245751.8
2021-06-02,48.5,48.65,48.3,48.65,34001,1654148.65
2021-06-03,48.5,49.15,48.5,49.15,46309,2276087.35
2021-06-04,49.0,49.0,48.75,48.9,12335,603181.5
2021-06-07,49.0,49.4,48.8,49.3,59905,2953316.5
2021-06-08,49.3,51.3,49.3,50.5,98857,4992278.5
2021-06-09,50.6,50.6,50.0,50.1,40003,2004150.3
2021-06-10,50.0,50.0,49.7,49.8,19129,952624.2
2021-06-11,50.2,50.2,49.8,49.8,48033,2392043.4
2021-06-15,50.0,50.2,49.8,50.1,13052,653905.2
2021-06-16,50.2,50.2,49.6,50.0,20000,1000000.0
2021-06-17,50.0,50.2,49.5,50.0,28004,1400200.0
2021-06-18,50.0,50.1,49.9,50.0,17003,850150.0
2021-06-21,50.0,50.0,49.1,49.65,32189,1598183.85
2021-06-22,49.5,49.65,49.3,49.45,40135,1984675.75
