Date,Open,High,Low,Close,Volume,Amount
2020-06-29,8.86,8.86,8.72,8.72,4000.00,34880.00
2020-06-30,8.74,8.77,8.73,8.77,6000.00,52620.00
2020-07-01,8.68,8.68,8.68,8.68,3000.00,26040.00
2020-07-02,8.62,8.76,8.61,8.62,14000.00,120680.00
2020-07-03,8.82,8.82,8.61,8.61,24000.00,206640.00
2020-07-06,8.72,8.72,8.59,8.66,63000.00,545580.00
2020-07-07,8.72,8.73,8.65,8.65,16000.00,138400.00
2020-07-08,8.60,8.71,8.53,8.63,41000.00,353830.00
2020-07-09,8.53,8.76,8.46,8.48,24000.00,203520.00
2020-07-10,8.42,8.58,8.42,8.56,11000.00,94160.00
2020-07-13,8.76,8.76,8.60,8.71,9000.00,78390.00
2020-07-14,8.52,8.58,8.46,8.58,16000.00,137280.00
2020-07-15,8.44,9.19,8.44,8.80,164000.00,1443200.00
2020-07-16,8.79,9.68,8.79,9.50,544000.00,5168000.00
2020-07-17,9.55,9.56,9.03,9.15,350000.00,3202500.00
2020-07-20,9.01,9.28,8.90,9.15,47000.00,430050.00
2020-07-21,9.00,9.00,8.85,8.96,39000.00,349440.00
2020-07-22,8.77,8.94,8.77,8.94,22000.00,196680.00
2020-07-23,8.96,9.12,8.94,9.00,46000.00,414000.00
2020-07-24,9.00,9.00,8.82,8.82,8000.00,70560.00
2020-07-27,9.05,9.05,8.73,8.73,11000.00,96030.00
2020-07-28,8.48,8.89,8.45,8.84,20000.00,176800.00
2020-07-29,8.54,8.92,8.54,8.92,21000.00,187320.00
2020-07-30,9.00,9.00,9.00,9.00,32000.00,288000.00
2020-07-31,9.00,9.00,9.00,9.00,2000.00,18000.00
2020-08-03,9.00,9.00,8.77,8.78,25000.00,219500.00
2020-08-04,8.58,8.78,8.52,8.74,68000.00,594320.00
2020-08-05,8.60,8.81,8.60,8.81,12000.00,105720.00
2020-08-06,8.66,8.96,8.63,8.70,50000.00,435000.00
2020-08-07,8.74,8.74,8.60,8.72,16000.00,139520.00
2020-08-10,8.66,8.70,8.61,8.68,57000.00,494760.00
2020-08-11,8.67,8.73,8.60,8.71,18000.00,156780.00
2020-08-12,8.62,8.66,8.52,8.60,59000.00,507400.00
2020-08-13,8.69,8.70,8.50,8.68,7000.00,60760.00
2020-08-14,8.68,8.70,8.68,8.70,2000.00,17400.00
2020-08-17,8.93,8.94,8.73,8.75,26000.00,227500.00
2020-08-18,8.90,8.90,8.75,8.82,19000.00,167580.00
2020-08-19,8.75,8.89,8.70,8.79,8000.00,70320.00
2020-08-20,8.88,8.88,8.50,8.67,15000.00,130050.00
2020-08-21,8.67,8.83,8.67,8.80,51000.00,448800.00
2020-08-24,8.64,8.79,8.64,8.67,23000.00,199410.00
