Date,Open,High,Low,Close,Volume,Amount
2020-07-01,17.85,18.1,17.85,18.0,542917,9772506.0
2020-07-02,18.0,18.1,18.0,18.05,806597,14559075.85
2020-07-03,16.85,17.0,16.85,16.85,394000,6638900.0
2020-07-06,16.9,16.9,16.7,16.7,184329,3078294.3
2020-07-07,16.8,16.8,16.7,16.7,78742,1314991.4
2020-07-08,16.7,16.7,16.6,16.6,73558,1221062.8
2020-07-09,16.6,16.8,16.55,16.55,112000,1853600.0
2020-07-10,16.55,16.6,16.5,16.5,58001,957016.5
2020-07-13,16.55,16.55,16.1,16.3,142012,2314795.6
2020-07-14,16.3,16.3,16.2,16.25,61880,1005550.0
2020-07-15,16.25,16.25,16.0,16.0,143672,2298752.0
2020-07-16,16.0,16.15,15.95,16.05,52050,835402.5
2020-07-17,16.1,16.2,16.05,16.05,56870,912763.5
2020-07-20,16.2,16.25,16.15,16.2,23143,374916.6
2020-07-21,16.2,16.55,16.2,16.3,85074,1386706.2
2020-07-22,16.45,16.45,16.35,16.35,25885,423219.75
2020-07-23,16.5,16.5,16.1,16.1,50582,814370.2
2020-07-24,16.3,16.3,16.1,16.1,24550,395255.0
2020-07-27,16.05,16.05,15.75,15.8,73100,1154980.0
2020-07-28,15.85,15.85,15.65,15.65,50536,790888.4
2020-07-29,16.1,16.1,16.0,16.0,17124,273984.0
2020-07-30,16.15,16.15,15.9,15.9,46308,736297.2
2020-07-31,15.95,15.95,15.9,15.9,26658,423862.2
2020-08-03,15.9,16.2,15.8,15.8,70200,1109160.0
2020-08-04,15.8,15.95,15.8,15.9,20400,324360.0
2020-08-05,15.85,16.0,15.85,16.0,43458,695328.0
2020-08-06,16.2,16.2,16.0,16.05,68686,1102410.3
2020-08-07,15.95,16.05,15.95,16.0,32078,513248.0
2020-08-10,16.1,16.2,16.05,16.1,33291,535985.1
2020-08-11,16.3,16.3,15.9,15.9,83360,1325424.0
2020-08-12,15.95,16.0,15.9,15.95,38025,606498.75
2020-08-13,16.0,16.0,15.95,16.0,16040,256640.0
2020-08-14,16.0,16.15,15.95,15.95,66753,1064710.35
2020-08-17,16.05,16.1,16.0,16.0,69446,1111136.0
2020-08-18,16.2,16.2,16.05,16.05,64160,1029768.0
2020-08-19,16.05,16.15,16.0,16.1,129372,2082889.2
2020-08-20,16.1,16.1,15.8,16.0,138281,2212496.0
2020-08-21,16.05,16.1,15.8,16.05,60430,969901.5
2020-08-24,16.05,16.15,16.05,16.1,108508,1746978.8
2020-08-25,16.05,16.1,16.0,16.05,87435,1403331.75
2020-08-26,16.1,16.15,16.05,16.15,85517,1381099.55
2020-08-27,16.15,16.2,16.1,16.15,56473,912038.95
2020-08-28,16.15,16.15,16.1,16.15,29311,473372.65
2020-08-31,16.3,16.3,16.2,16.25,73502,1194407.5
2020-09-01,16.25,16.35,16.15,16.2,88463,1433100.6
2020-09-02,16.25,16.25,16.15,16.2,74714,1210366.8
2020-09-03,16.2,16.3,16.2,16.2,101085,1637577.0
2020-09-04,16.2,16.2,16.05,16.2,76099,1232803.8
2020-09-07,16.2,16.95,16.2,16.9,469982,7942695.8
2020-09-08,17.1,17.5,16.8,16.8,325014,5460235.2
2020-09-09,16.8,16.95,16.6,16.75,116352,1948896.0
2020-09-10,16.75,16.75,16.5,16.55,66104,1094021.2
