Date,Open,High,Low,Close,Volume,Amount
2020-06-29,6.05,6.15,6.05,6.10,28230.00,172203.00
2020-06-30,6.10,6.10,6.01,6.01,10212.00,61374.12
2020-07-01,6.01,6.03,6.01,6.03,30265.00,182497.95
2020-07-02,6.00,6.00,6.00,6.00,24332.00,145992.00
2020-07-03,6.00,6.01,6.00,6.01,27000.00,162270.00
2020-07-06,6.10,6.10,6.01,6.01,35662.00,214328.62
2020-07-07,6.01,6.01,6.01,6.01,47870.00,287698.70
2020-07-08,6.01,6.01,6.01,6.01,31218.00,187620.18
2020-07-09,6.01,6.20,6.01,6.10,7721.00,47098.10
2020-07-10,6.01,6.08,6.01,6.01,16855.00,101298.55
2020-07-13,6.01,6.01,6.00,6.01,19369.00,116407.69
2020-07-14,6.05,6.05,6.05,6.05,19310.00,116825.50
2020-07-15,6.05,6.05,6.05,6.05,81300.00,491865.00
2020-07-16,6.00,6.00,6.00,6.00,12000.00,72000.00
2020-07-17,0.00,0.00,0.00,0.00,380.00,0.00
2020-07-20,6.02,6.02,6.01,6.02,9500.00,57190.00
2020-07-21,6.00,6.01,5.99,6.01,49529.00,297669.29
2020-07-22,6.00,6.02,6.00,6.02,33639.00,202506.78
2020-07-23,6.01,6.01,6.01,6.01,39892.00,239750.92
2020-07-24,5.41,6.30,5.41,6.30,15280.00,96264.00
2020-07-27,6.23,6.23,6.05,6.05,14028.00,84869.40
2020-07-28,5.90,5.96,5.90,5.96,33473.00,199499.08
2020-07-29,0.00,0.00,0.00,0.00,275.00,0.00
2020-07-30,5.96,5.98,5.96,5.98,16662.00,99638.76
2020-07-31,6.00,6.01,5.90,5.94,68580.00,407365.20
2020-08-03,5.96,6.10,5.96,6.10,30327.00,184994.70
2020-08-04,0.00,0.00,0.00,0.00,1434.00,0.00
2020-08-05,6.10,6.30,6.10,6.15,91783.00,564465.45
2020-08-06,6.74,6.74,6.01,6.02,12348.00,74334.96
2020-08-07,6.02,6.02,6.00,6.00,60000.00,360000.00
2020-08-10,6.00,6.01,6.00,6.01,17000.00,102170.00
2020-08-11,6.01,6.01,5.90,5.90,4594.00,27104.60
2020-08-12,5.90,5.90,5.90,5.90,9000.00,53100.00
2020-08-13,6.00,6.38,6.00,6.38,85998.00,548667.24
2020-08-14,6.20,6.20,6.20,6.20,20099.00,124613.80
2020-08-17,6.70,6.70,6.00,6.03,25901.00,156183.03
2020-08-18,6.04,6.05,6.04,6.05,12478.00,75491.90
2020-08-19,6.02,6.03,6.02,6.03,25829.00,155748.87
2020-08-20,6.04,6.04,6.03,6.04,56001.00,338246.04
2020-08-21,6.02,6.02,6.02,6.02,3000.00,18060.00
2020-08-24,6.01,6.05,6.01,6.05,25478.00,154141.90
2020-08-25,6.05,6.05,6.01,6.05,130786.00,791255.30
2020-08-26,5.45,6.03,5.45,6.03,104115.00,627813.45
2020-08-27,6.02,6.05,6.02,6.04,154328.00,932141.12
2020-08-28,6.03,6.20,6.01,6.17,62350.00,384699.50
2020-08-31,6.02,6.02,6.01,6.02,95567.00,575313.34
2020-09-01,6.02,6.11,6.02,6.05,62101.00,375711.05
2020-09-02,6.05,6.05,6.02,6.02,24478.00,147357.56
2020-09-03,6.05,6.05,6.04,6.05,63950.00,386897.50
2020-09-04,6.10,6.10,6.05,6.10,116699.00,711863.90
2020-09-07,6.10,6.12,6.10,6.11,138665.00,847243.15
2020-09-15,25.35,25.35,24.80,25.35,95294.00,2415702.90
2020-09-16,24.80,25.30,24.80,25.30,20884.00,528365.20
2020-09-17,24.80,24.80,24.80,24.80,11159.00,276743.20
2020-09-18,24.80,24.80,24.50,24.50,18390.00,450555.00
2020-09-21,24.50,24.50,23.00,23.00,48931.00,1125413.00
2020-09-22,23.00,23.00,23.00,23.00,31367.00,721441.00
2020-09-23,23.05,23.05,23.05,23.05,5423.00,125000.15
2020-09-24,23.10,23.10,23.10,23.10,3400.00,78540.00
2020-09-25,23.20,25.40,23.20,25.40,31929.00,810996.60
2020-09-28,27.80,27.80,27.00,27.40,35791.00,980673.40
2020-09-29,26.80,26.80,26.00,26.20,23436.00,614023.20
2020-09-30,26.50,26.80,26.50,26.80,26382.00,707037.60
2020-10-05,0.00,0.00,0.00,0.00,1036.00,0.00
2020-10-06,26.80,27.00,26.80,27.00,8494.00,229338.00
2020-10-07,26.00,26.10,26.00,26.00,33735.00,877110.00
2020-10-08,26.10,26.10,26.10,26.10,3839.00,100197.90
2020-10-12,26.50,26.50,26.30,26.30,15474.00,406966.20
2020-10-13,26.30,26.30,26.10,26.10,28426.00,741918.60
2020-10-14,26.10,26.30,26.10,26.30,14137.00,371803.10
2020-10-15,26.20,26.30,26.10,26.10,8309.00,216864.90
2020-10-16,26.10,26.20,26.00,26.00,4369.00,113594.00
2020-10-19,26.10,26.10,26.10,26.10,8796.00,229575.60
2020-10-20,26.00,26.20,26.00,26.20,6114.00,160186.80
2020-10-21,26.20,26.20,26.10,26.20,4467.00,117035.40
2020-10-22,26.20,26.20,26.10,26.10,4600.00,120060.00
2020-10-23,26.00,26.20,26.00,26.20,13016.00,341019.20
2020-10-26,26.20,26.20,26.20,26.20,5276.00,138231.20
2020-10-27,26.20,26.20,26.20,26.20,2828.00,74093.60
2020-10-28,26.00,26.00,26.00,26.00,7414.00,192764.00
2020-10-29,0.00,0.00,0.00,0.00,2049.00,0.00
2020-10-30,26.00,26.00,26.00,26.00,7609.00,197834.00
2020-11-02,26.00,26.00,26.00,26.00,2199.00,57174.00
2020-11-03,26.00,26.00,25.90,25.90,8805.00,228049.50
2020-11-04,26.00,26.00,26.00,26.00,3455.00,89830.00
2020-11-05,26.10,26.10,26.10,26.10,3499.00,91323.90
2020-11-06,26.10,26.20,26.10,26.20,6299.00,165033.80
2020-11-09,26.00,26.00,26.00,26.00,6189.00,160914.00
2020-11-10,26.15,26.15,26.10,26.10,6723.00,175470.30
2020-11-11,26.10,26.10,26.10,26.10,13999.00,365373.90
2020-11-12,26.10,26.10,26.10,26.10,3010.00,78561.00
2020-11-13,26.15,26.15,26.10,26.10,9999.00,260973.90
2020-11-16,26.20,26.20,26.15,26.15,11409.00,298345.35
2020-11-17,26.15,26.15,26.15,26.15,5925.00,154938.75
2020-11-18,26.15,26.15,26.15,26.15,13079.00,342015.85
2020-11-19,26.20,26.25,26.20,26.25,13196.00,346395.00
2020-11-20,26.25,26.30,26.25,26.30,6528.00,171686.40
2020-11-23,26.40,26.50,26.40,26.50,11237.00,297780.50
2020-11-24,26.25,26.25,26.25,26.25,5587.00,146658.75
2020-11-25,26.25,27.05,26.25,26.30,15902.00,418222.60
2020-11-26,26.80,27.20,26.80,26.80,11863.00,317928.40
2020-11-27,0.00,0.00,0.00,0.00,684.00,0.00
2020-11-30,26.75,27.50,26.75,27.20,25352.00,689574.40
2020-12-01,27.20,27.20,27.20,27.20,5121.00,139291.20
2020-12-02,27.20,27.30,26.80,26.80,14279.00,382677.20
2020-12-03,26.90,27.00,26.80,27.00,14889.00,402003.00
2020-12-04,27.15,27.20,27.00,27.00,9201.00,248427.00
2020-12-07,27.00,27.20,27.00,27.05,7850.00,212342.50
2020-12-08,27.20,27.20,27.00,27.10,18917.00,512650.70
2020-12-09,27.05,27.20,27.05,27.20,10626.00,289027.20
2020-12-10,27.20,27.20,27.10,27.10,8817.00,238940.70
2020-12-11,27.00,27.10,26.80,26.80,20286.00,543664.80
2020-12-14,26.80,26.85,26.80,26.80,13134.00,351991.20
2020-12-15,26.90,26.90,26.80,26.90,7481.00,201238.90
2020-12-16,26.90,26.90,26.00,26.85,14439.00,387687.15
2020-12-17,26.85,26.85,26.60,26.60,8999.00,239373.40
2020-12-18,26.80,27.00,26.80,26.80,17076.00,457636.80
2020-12-21,27.00,27.00,26.80,26.80,6000.00,160800.00
2020-12-22,0.00,0.00,0.00,0.00,999.00,0.00
2020-12-23,26.80,27.15,26.80,26.80,11340.00,303912.00
2020-12-24,26.80,27.00,26.80,26.80,9757.00,261487.60
2020-12-25,26.85,27.00,26.85,27.00,8116.00,219132.00
2020-12-28,27.25,27.30,26.80,27.00,67082.00,1811214.00
2020-12-29,27.00,27.00,26.85,26.85,32192.00,864355.20
2020-12-30,26.80,26.80,26.80,26.80,9991.00,267758.80
2020-12-31,24.80,27.40,24.80,26.90,19926.00,536009.40
2021-01-04,26.80,26.80,26.80,26.80,5294.00,141879.20
2021-01-05,26.80,26.90,26.80,26.80,15971.00,428022.80
2021-01-06,26.80,26.85,26.80,26.80,10819.00,289949.20
2021-01-07,26.85,26.85,26.80,26.80,4999.00,133973.20
2021-01-08,26.80,26.80,26.80,26.80,7713.00,206708.40
2021-01-11,26.80,26.80,26.80,26.80,9646.00,258512.80
2021-01-12,27.40,27.40,26.80,26.85,15198.00,408066.30
2021-01-13,26.90,26.90,26.85,26.85,4166.00,111857.10
2021-01-14,26.80,26.80,26.80,26.80,7912.00,212041.60
2021-01-15,26.80,26.80,26.80,26.80,4472.00,119849.60
2021-01-18,26.80,26.80,26.80,26.80,7038.00,188618.40
2021-01-19,27.00,27.00,26.80,26.80,6000.00,160800.00
2021-01-20,27.00,27.40,27.00,27.40,21948.00,601375.20
2021-01-21,27.30,27.50,27.30,27.50,15645.00,430237.50
2021-01-22,27.00,27.00,27.00,27.00,6090.00,164430.00
2021-01-25,27.00,27.00,27.00,27.00,6367.00,171909.00
2021-01-26,27.00,27.00,26.60,26.60,5955.00,158403.00
2021-01-27,26.80,26.80,26.50,26.50,4423.00,117209.50
2021-01-28,26.60,27.05,26.60,26.60,8230.00,218918.00
2021-01-29,26.55,26.60,26.50,26.50,11345.00,300642.50
2021-02-01,27.40,27.40,27.40,27.40,9240.00,253176.00
2021-02-02,27.50,27.50,26.90,26.90,2942.00,79139.80
2021-02-03,27.25,27.30,27.20,27.20,10884.00,296044.80
2021-02-04,26.55,26.85,26.55,26.80,7082.00,189797.60
2021-02-05,26.95,27.10,26.80,26.80,16588.00,444558.40
2021-02-17,27.15,27.20,26.50,26.50,17805.00,471832.50
2021-02-18,26.50,26.70,26.50,26.50,11241.00,297886.50
2021-02-19,26.60,26.60,26.60,26.60,1678.00,44634.80
2021-02-22,26.95,27.00,26.60,26.60,18925.00,503405.00
2021-02-23,26.40,26.40,26.35,26.35,2600.00,68510.00
2021-02-24,26.35,26.35,26.30,26.30,6051.00,159141.30
2021-02-25,26.30,26.30,26.30,26.30,5902.00,155222.60
2021-02-26,0.00,0.00,0.00,0.00,245.00,0.00
2021-03-02,26.20,26.40,26.20,26.40,4003.00,105679.20
2021-03-03,26.20,26.45,26.20,26.20,8624.00,225948.80
2021-03-04,26.30,26.30,26.20,26.20,13575.00,355665.00
2021-03-05,26.45,26.45,26.10,26.10,3572.00,93229.20
2021-03-08,26.10,26.10,26.10,26.10,2484.00,64832.40
2021-03-09,26.20,26.20,26.10,26.10,6611.00,172547.10
2021-03-10,26.25,26.30,26.00,26.00,17360.00,451360.00
2021-03-11,26.30,26.30,26.20,26.20,45000.00,1179000.00
2021-03-12,28.05,28.80,28.05,28.80,107556.00,3097612.80
2021-03-15,30.75,31.65,29.80,31.50,155734.00,4905621.00
2021-03-16,33.30,33.30,29.25,30.45,33802.00,1029270.90
2021-03-17,31.70,31.70,29.90,30.00,21208.00,636240.00
2021-03-18,29.40,30.05,29.40,30.05,17822.00,535551.10
2021-03-19,28.80,30.05,28.80,29.00,31006.00,899174.00
2021-03-22,29.20,31.90,29.20,30.70,28159.00,864481.30
2021-03-23,30.70,31.35,30.30,31.35,24715.00,774815.25
2021-03-24,31.35,31.70,31.10,31.60,21180.00,669288.00
2021-03-25,31.55,31.60,30.80,30.95,19907.00,616121.65
