Date,Open,High,Low,Close,Volume,Amount
2020-06-29,14.45,14.70,14.30,14.60,2712240.00,39598704.00
2020-06-30,14.75,14.75,14.50,14.50,2179253.00,31599168.50
2020-07-01,14.55,14.70,14.40,14.50,2540900.00,36843050.00
2020-07-02,14.70,15.20,14.60,14.85,5583422.00,82913816.70
2020-07-03,15.00,15.20,14.75,14.80,4415506.00,65349488.80
2020-07-06,15.05,15.30,14.85,15.10,5895234.00,89018033.40
2020-07-07,15.25,16.60,15.10,16.60,24362566.00,404418595.60
2020-07-08,16.85,17.70,16.25,16.60,30365825.00,504072695.00
2020-07-09,16.60,16.65,15.65,15.75,11472668.00,180694521.00
2020-07-10,15.85,15.90,15.00,15.30,6779368.00,103724330.40
2020-07-13,15.55,16.40,15.50,16.25,7638942.00,124132807.50
2020-07-14,16.00,16.20,15.70,15.75,3679083.00,57945557.25
2020-07-15,15.90,16.20,15.65,15.80,4247068.00,67103674.40
2020-07-16,16.00,16.20,15.85,16.15,3554359.00,57402897.85
2020-07-17,16.30,16.60,15.70,15.80,7267139.00,114820796.20
2020-07-20,15.95,16.00,15.45,15.80,3762653.00,59449917.40
2020-07-21,15.95,16.75,15.90,16.40,10007395.00,164121278.00
2020-07-22,16.55,16.55,15.95,16.20,5648736.00,91509523.20
2020-07-23,15.60,16.50,15.50,16.20,8319251.00,134771866.20
2020-07-24,16.05,16.25,15.55,15.60,4905530.00,76526268.00
2020-07-27,15.85,15.85,15.10,15.20,5024772.00,76376534.40
2020-07-28,15.25,15.30,14.05,14.10,11623459.00,163890771.90
2020-07-29,14.30,15.50,14.25,15.50,10818550.00,167687525.00
2020-07-30,15.40,16.10,15.10,16.05,11220138.00,180083214.90
2020-07-31,15.75,16.10,15.75,16.00,3454680.00,55274880.00
2020-08-03,16.20,16.20,15.60,15.75,3415236.00,53789967.00
2020-08-04,15.80,16.80,15.65,16.40,10351873.00,169770717.20
2020-08-05,16.40,17.05,16.30,16.95,8198808.00,138969795.60
