Date,Open,High,Low,Close,Volume,Amount
2020-07-01,8.53,8.55,8.42,8.55,136593,1167870.15
2020-07-02,8.55,8.57,8.44,8.57,54000,462780.00
2020-07-03,8.58,8.58,8.50,8.58,106035,909780.30
2020-07-06,8.58,8.60,8.53,8.60,37683,324073.80
2020-07-07,8.60,8.65,8.55,8.58,61565,528227.70
2020-07-08,8.55,8.60,8.55,8.60,67828,583320.80
2020-07-09,8.56,8.65,8.56,8.65,118280,1023122.00
2020-07-10,8.65,8.66,8.31,8.46,87079,736688.34
2020-07-13,8.40,8.46,8.40,8.44,77620,655112.80
2020-07-14,8.40,8.46,8.34,8.45,72881,615844.45
2020-07-15,8.46,8.50,8.45,8.45,33920,286624.00
2020-07-16,8.40,8.56,8.40,8.55,84563,723013.65
2020-07-17,8.50,8.57,8.39,8.39,132526,1111893.14
2020-07-20,8.50,8.60,8.41,8.45,75000,633750.00
2020-07-21,8.50,8.55,8.50,8.50,57000,484500.00
2020-07-22,8.55,8.55,8.46,8.49,56252,477579.48
2020-07-23,8.45,8.48,8.42,8.46,32692,276574.32
2020-07-24,8.45,8.45,8.38,8.43,60748,512105.64
2020-07-27,8.40,8.42,8.32,8.32,42488,353500.16
2020-07-28,8.11,8.33,8.11,8.33,28678,238887.74
2020-07-29,8.24,8.31,8.24,8.31,14556,120960.36
2020-07-30,8.33,8.33,8.26,8.26,3001,24788.26
2020-07-31,8.25,8.30,8.23,8.30,24518,203499.40
2020-08-03,8.25,8.30,8.25,8.30,11002,91316.60
2020-08-04,8.30,8.31,8.23,8.30,62000,514600.00
2020-08-05,8.30,8.45,8.23,8.29,141000,1168890.00
2020-08-06,8.40,8.40,8.26,8.36,23073,192890.28
2020-08-07,8.28,8.28,7.90,7.99,384087,3068855.13
2020-08-10,7.99,7.99,7.65,7.84,241359,1892254.56
2020-08-11,7.89,7.94,7.80,7.85,39000,306150.00
2020-08-12,7.90,7.92,7.81,7.81,43952,343265.12
2020-08-13,7.90,8.25,7.90,8.09,58394,472407.46
2020-08-14,8.01,8.10,7.99,8.10,13466,109074.60
2020-08-17,8.09,8.20,7.80,8.04,159029,1278593.16
2020-08-18,8.10,8.10,7.87,7.99,41518,331728.82
2020-08-19,8.00,8.09,7.94,7.98,52001,414967.98
2020-08-20,7.95,8.00,7.75,7.98,186987,1492156.26
2020-08-21,7.94,7.98,7.82,7.98,95204,759727.92
2020-08-24,7.98,8.02,7.92,7.99,44004,351591.96
