Date,Open,High,Low,Close,Volume,Amount
2020-06-29,352.00,352.50,350.00,350.50,108000.00,37854000.00
2020-06-30,356.00,356.00,352.00,353.00,70000.00,24710000.00
2020-07-01,352.00,355.50,352.00,354.00,130000.00,46020000.00
2020-07-02,357.00,370.00,357.00,361.50,718000.00,259557000.00
2020-07-03,362.00,364.00,356.50,358.00,227000.00,81266000.00
2020-07-06,356.50,360.50,355.00,356.00,245000.00,87220000.00
2020-07-07,357.50,364.00,356.50,356.50,269000.00,95898500.00
2020-07-08,356.00,356.50,352.00,353.50,263000.00,92970500.00
2020-07-09,356.00,356.00,353.00,353.00,150000.00,52950000.00
2020-07-10,353.00,353.00,345.50,346.50,263000.00,91129500.00
2020-07-13,348.00,349.50,344.00,347.00,159000.00,55173000.00
2020-07-14,348.00,349.00,342.50,343.00,156000.00,53508000.00
2020-07-15,348.50,349.00,343.00,345.00,187000.00,64515000.00
2020-07-16,349.50,349.50,346.00,349.00,91000.00,31759000.00
2020-07-17,355.00,355.00,347.50,349.00,226000.00,78874000.00
2020-07-20,349.00,349.00,341.00,343.50,182000.00,62517000.00
2020-07-21,344.00,351.00,341.50,344.00,259000.00,89096000.00
2020-07-22,345.00,345.00,337.00,338.00,478000.00,161564000.00
2020-07-23,337.00,337.00,331.50,332.00,330000.00,109560000.00
2020-07-24,331.50,331.50,320.00,323.50,381000.00,123253500.00
2020-07-27,320.00,322.50,305.00,306.50,696000.00,213324000.00
2020-07-28,307.00,316.50,300.00,308.00,734000.00,226072000.00
2020-07-29,312.50,323.00,309.00,323.00,402000.00,129846000.00
2020-07-30,323.00,328.00,311.00,314.00,588000.00,184632000.00
2020-07-31,315.00,315.00,306.50,310.00,539000.00,167090000.00
2020-08-03,310.00,313.00,309.00,310.50,163000.00,50611500.00
2020-08-04,313.50,315.50,310.50,312.50,344000.00,107500000.00
2020-08-05,315.00,318.00,313.00,317.00,196000.00,62132000.00
2020-08-06,318.50,321.50,311.00,313.50,345000.00,108157500.00
2020-08-07,306.00,307.00,302.50,304.00,1005000.00,305520000.00
2020-08-10,298.00,298.00,290.00,292.00,928000.00,270976000.00
2020-08-11,292.00,297.50,291.00,295.00,590000.00,174050000.00
2020-08-12,295.00,295.50,290.00,292.50,357000.00,104422500.00
2020-08-13,294.00,296.50,290.00,294.00,276000.00,81144000.00
2020-08-14,294.00,294.50,290.00,291.00,374000.00,108834000.00
2020-08-17,291.50,292.00,285.50,285.50,676000.00,192998000.00
2020-08-18,285.50,285.50,279.50,284.00,588000.00,166992000.00
2020-08-19,283.50,284.50,282.00,283.50,242000.00,68607000.00
2020-08-20,284.00,285.00,275.50,282.50,540000.00,152550000.00
2020-08-21,284.00,287.00,280.50,285.00,312000.00,88920000.00
2020-08-24,287.50,295.00,285.50,293.50,612000.00,179622000.00
2020-08-25,293.50,295.00,287.50,292.00,355000.00,103660000.00
2020-08-26,294.00,296.00,291.00,296.00,261000.00,77256000.00
2020-08-27,298.00,298.50,293.00,293.50,287000.00,84234500.00
2020-08-28,295.50,300.00,295.50,298.00,543000.00,161814000.00
2020-08-31,301.00,301.00,296.00,296.00,412000.00,121952000.00
2020-09-01,295.50,296.00,289.00,293.00,477000.00,139761000.00
2020-09-02,293.00,293.50,290.50,293.00,618000.00,181074000.00
2020-09-03,278.00,282.00,276.50,276.50,1243000.00,343689500.00
2020-09-04,275.00,276.50,271.00,272.00,565000.00,153680000.00
2020-09-07,272.00,273.50,263.00,263.50,766000.00,201841000.00
2020-09-08,263.00,267.00,260.50,267.00,382000.00,101994000.00
2020-09-09,266.00,275.00,265.00,272.00,515000.00,140080000.00
2020-09-10,275.00,275.50,269.50,271.00,215000.00,58265000.00
2020-09-11,271.00,271.00,268.00,269.00,186000.00,50034000.00
2020-09-14,269.00,270.00,266.50,267.50,206000.00,55105000.00
2020-09-15,270.00,270.00,266.00,266.50,225000.00,59962500.00
2020-09-16,266.50,268.00,263.50,264.00,319000.00,84216000.00
2020-09-17,265.00,265.50,262.00,262.50,246000.00,64575000.00
2020-09-18,264.00,281.00,263.50,272.00,718000.00,195296000.00
2020-09-21,276.00,286.00,275.50,282.50,1016000.00,287020000.00
2020-09-22,282.00,282.00,277.00,277.00,339000.00,93903000.00
2020-09-23,280.00,284.00,277.00,281.00,546000.00,153426000.00
2020-09-24,280.50,283.00,277.00,281.00,617000.00,173377000.00
2020-09-25,285.00,294.00,282.50,284.00,1083000.00,307572000.00
2020-09-28,284.50,293.50,282.50,293.50,897000.00,263269500.00
2020-09-29,293.00,293.00,282.50,284.00,803000.00,228052000.00
2020-09-30,285.00,287.50,282.50,283.50,208000.00,58968000.00
2020-10-05,284.50,286.50,281.50,285.50,279000.00,79654500.00
2020-10-06,286.50,288.50,280.00,280.50,386000.00,108273000.00
2020-10-07,281.00,283.00,280.50,281.00,218000.00,61258000.00
2020-10-08,282.00,282.50,276.50,277.00,375000.00,103875000.00
2020-10-12,275.00,275.00,269.00,270.50,365000.00,98732500.00
2020-10-13,269.00,271.50,266.50,266.50,257000.00,68490500.00
2020-10-14,266.00,269.50,266.00,269.00,235000.00,63215000.00
2020-10-15,269.00,269.00,265.50,266.00,201000.00,53466000.00
2020-10-16,266.00,266.00,263.50,263.50,214000.00,56389000.00
2020-10-19,263.50,265.50,261.00,262.00,328000.00,85936000.00
2020-10-20,261.00,263.50,261.00,261.50,225000.00,58837500.00
2020-10-21,262.50,266.50,262.50,266.00,193000.00,51338000.00
2020-10-22,266.50,271.00,266.50,270.00,198000.00,53460000.00
2020-10-23,271.00,271.00,267.00,268.00,132000.00,35376000.00
2020-10-26,269.00,269.00,264.00,264.50,130000.00,34385000.00
2020-10-27,263.00,266.50,263.00,264.00,105000.00,27720000.00
2020-10-28,267.00,267.00,263.00,265.50,116000.00,30798000.00
2020-10-29,261.00,263.50,260.50,262.00,132000.00,34584000.00
2020-10-30,262.00,263.50,258.00,258.50,349000.00,90216500.00
2020-11-02,258.50,258.50,251.00,251.50,348000.00,87522000.00
2020-11-03,252.50,254.50,252.50,253.50,125000.00,31687500.00
2020-11-04,256.00,268.00,254.00,268.00,422000.00,113096000.00
2020-11-05,268.00,268.00,262.50,262.50,232000.00,60900000.00
2020-11-06,266.50,273.00,265.00,269.00,399000.00,107331000.00
2020-11-09,270.00,272.00,265.00,267.50,300000.00,80250000.00
2020-11-10,272.50,278.00,270.50,277.00,732000.00,202764000.00
2020-11-11,276.50,285.00,275.00,282.50,682000.00,192665000.00
2020-11-12,287.00,287.50,283.50,285.50,505000.00,144177500.00
2020-11-13,283.00,292.00,282.50,291.00,740000.00,215340000.00
2020-11-16,295.50,299.00,295.50,298.00,635000.00,189230000.00
2020-11-17,298.00,298.00,288.00,288.00,480000.00,138240000.00
2020-11-18,286.50,292.00,283.50,291.50,430000.00,125345000.00
2020-11-19,292.50,292.50,287.50,289.00,180000.00,52020000.00
2020-11-20,291.00,291.00,286.00,286.00,268000.00,76648000.00
2020-11-23,286.00,291.00,284.50,286.00,248000.00,70928000.00
2020-11-24,288.00,288.00,285.00,286.00,177000.00,50622000.00
2020-11-25,288.50,288.50,286.00,287.50,141000.00,40537500.00
2020-11-26,288.50,289.00,286.50,287.00,127000.00,36449000.00
2020-11-27,287.00,292.50,287.00,289.00,328000.00,94792000.00
2020-11-30,293.00,293.00,289.50,290.00,157000.00,45530000.00
2020-12-01,290.00,291.00,283.00,287.50,222000.00,63825000.00
2020-12-02,287.50,293.00,287.50,289.00,261000.00,75429000.00
2020-12-03,291.00,309.50,291.00,303.50,1571000.00,476798500.00
2020-12-04,305.00,306.50,298.00,303.00,638000.00,193314000.00
2020-12-07,305.00,305.00,292.00,292.50,490000.00,143325000.00
2020-12-08,293.00,302.00,293.00,297.00,392000.00,116424000.00
2020-12-09,297.00,297.00,295.00,295.50,202000.00,59691000.00
2020-12-10,294.00,296.00,291.00,294.00,208000.00,61152000.00
2020-12-11,295.00,296.00,285.50,286.50,363000.00,103999500.00
2020-12-14,284.50,290.00,281.00,290.00,250000.00,72500000.00
2020-12-15,289.50,290.00,283.00,283.00,190000.00,53770000.00
