日期,股票,現金,期貨,應收付,淨資產,總曝險,申贖應付款(%),股票權重,期貨影響,SP值,ECP值,操作警示,動作訊號,姿態訊號,大盤漲跌,申贖應付款
2025/12/17,91.38,7.55,0.0,-5.32,45513295048.0,91.38,0.0,91.38,0.0,-5.32,2.22,⚪ 觀望/續抱 (盤整),BUY++ (強買),NEUTRAL (中性),-0.04,
2025/12/18,92.85,6.75,0.0,-6.19,46522665808.0,92.85,0.0,92.85,0.0,-6.19,0.56,🔴 全力進攻 (追價/嘎空),BUY++ (強買),FULL (滿倉),-0.21,
2025/12/22,97.23,3.58,0.0,-4.18,48296001062.0,97.23,0.0,97.23,0.0,-4.18,-0.6,🔴 全力進攻 (追價/嘎空),BUY++ (強買),FULL (滿倉),1.64,
2025/12/23,97.68,1.13,0.0,-0.62,48653325231.0,97.68,0.0,97.68,0.0,-0.62,0.51,🔴 全力進攻 (追價/嘎空),BUY+ (緩買),FULL (滿倉),0.57,
2025/12/24,97.21,0.94,0.0,1.24,48708505102.0,97.21,-1.19,97.21,0.0,1.24,2.17,🟠 高檔獲利了結 (見好就收),SELL++ (強賣),FULL (滿倉),0.22,
2025-12-26,97.41,1.89,0.0,1.55,49079742030.59235,97.40999999999998,,97.41,0.0,1.550749927588432,3.44,📉 📉 趁機倒貨 (收到申購款卻在賣股),📉 趁機倒貨 (收到申購款卻在賣股),新制,0.6486681578092219,-1.25
2025-12-29,97.42,3.49,0.0,-0.76,49754949339.97125,97.42,,97.42,0.0,-0.756219732893446,2.7300000000000004,🚀 🚀 資金派對 (散戶湧入 + 經理人加碼),🚀 資金派對 (散戶湧入 + 經理人加碼),新制,-0.3601415992355612,-1.23
2025-12-30,97.38,1.95,0.0,-0.74,49692177437.87225,97.38,,97.38,0.0,-0.7426302911788872,1.21,🔴 強力買進 (高持股續買),資金流向正常,新制,-0.3601415992355612,-0.07
2025-12-31,97.38,0.88,0.0,-0.74,50349442131.85459,97.38,,97.38,0.0,-0.7378952541858383,0.14,🔴 強力買進 (高持股續買),資金流向正常,新制,0.8934017437479732,0.0
2026-01-02,96.77,1.46,0.0,-2.98,51358130785.36736,96.77,,96.77,0.0,-2.975508098973484,-1.52,🔴 強力買進 (高持股續買),資金流向正常,新制,1.3334323081385009,0.0
2026-01-05,97.43,3.7,0.0,-3.15,51789615086.72893,97.43000000000002,,97.43,0.0,-3.147150306621338,0.5500000000000003,🔴 強力買進 (高持股續買),資金流向正常,新制,2.573202347817582,0.0
