Date,SectorName,PriceChange,TurnoverChange,FundFlow,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-04-08,ABF,,,,,,,511.0
2026-04-08,IC-代工,,,,,16420.0,968.0,
2026-04-08,IC-導線架,1.77,164.06,1931,,,,
2026-04-08,LCD-STN面板,1.22,47.96,364,,,,
2026-04-08,LED照明及光元件,2.92,68.28,3132,,,,
2026-04-08,NB與手機零組件,-1.87,49.95,3353,,,,
2026-04-08,PC介面卡,6.68,577.78,104,,,,
2026-04-08,掃描器,3.09,102.92,282,,,,
2026-04-08,概念股_3DIC聯盟,,,,,11992.0,1404.0,950.0
2026-04-08,概念股_3D感測,,,,11336.0,,,1066.0
2026-04-08,概念股_ADAS,,,,,,,952.0
2026-04-08,概念股_AI PC,,,,13476.0,9511.0,,2017.0
2026-04-08,概念股_AMD,,,,15534.0,10881.0,3005.0,1648.0
2026-04-08,概念股_AWS,,,,11271.0,,,
2026-04-08,概念股_Apple,,,,21529.0,14503.0,3644.0,3382.0
2026-04-08,概念股_CES,,,,16060.0,10939.0,1860.0,3261.0
2026-04-08,概念股_GB200,,,,14795.0,10981.0,2153.0,1661.0
2026-04-08,概念股_GB300,,,,,,,913.0
2026-04-08,概念股_HPC,,,,,10298.0,2336.0,1001.0
2026-04-08,概念股_IC載板,,,,,,,584.0
2026-04-08,概念股_MWC,,,,11528.0,,-604.0,
2026-04-08,概念股_PCB,,,,4769.0,,,1090.0
2026-04-08,概念股_PS5,,,,15576.0,12837.0,830.0,
2026-04-08,概念股_iPhone,,,,16755.0,11836.0,2747.0,2172.0
2026-04-08,概念股_一帶一路,,,,,,,916.0
2026-04-08,概念股_人工智慧,,,,12962.0,12858.0,-1205.0,
2026-04-08,概念股_保護元件,0.46,164.75,229,,,,
2026-04-08,概念股_元宇宙,,,,,18357.0,506.0,
2026-04-08,概念股_功率半導體,,,,,14594.0,-91.0,
2026-04-08,概念股_太陽能,,,,,,,702.0
2026-04-08,概念股_寧德時代,2.15,46.25,358,,,,
2026-04-08,概念股_指紋辨識,,,,,11770.0,461.0,
2026-04-08,概念股_新藥,0.08,38.89,621,,,,
2026-04-08,概念股_新藥研發,0.18,60.42,725,,,,
2026-04-08,概念股_次世代半導體,,,,,13426.0,885.0,
2026-04-08,概念股_氣候變遷,,,,,16031.0,275.0,
2026-04-08,概念股_水資源,-2.62,73.35,300,,,,
2026-04-08,概念股_無線充電,,,,10286.0,,,
2026-04-08,概念股_特用化學,0.81,113.1,4731,,,,
2026-04-08,概念股_生技服務,-4.09,51.01,279,,,,
2026-04-08,概念股_碳權,,,,,19941.0,229.0,
2026-04-08,概念股_福建自貿區,2.27,38.58,4868,,,,
2026-04-08,概念股_空污,-2.46,38.84,247,,,,
2026-04-08,概念股_穿載式裝置,,,,18415.0,13930.0,2272.0,2213.0
2026-04-08,概念股_美元升值,,,,-1951.0,,,1595.0
2026-04-08,概念股_航太,0.29,159.61,7580,,,,
2026-04-08,概念股_虛擬貨幣,,,,19744.0,17629.0,895.0,
2026-04-08,概念股_製藥業,-2.12,43.44,440,,,,
2026-04-08,概念股_車用電子,,,,167.0,,,
2026-04-08,概念股_車聯網,,,,11973.0,,,
2026-04-08,概念股_軌道衛星,,,,176.0,,,
2026-04-08,概念股_鴻海MIH電動車平台,,,,-9.0,,,
2026-04-08,記憶體銷售,0.67,39.45,5824,,,,
2026-04-08,通訊設備,,,,,,,-23.0
