Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,foreign_amount,trust_amount,dealer_amount
2026-02-24,EMS,,,,,,,,,,-262.0,
2026-02-24,IC-半導體設備,,,,,,4392,1082,9.4,,,
2026-02-24,IC-製造,,,,319046,9078,,,8.19,,,
2026-02-24,LCD-零組件,3.93,144.06,1347,,,,,,,,
2026-02-24,PCB-製造,,,,348960,4803,14855,1626,,,,
2026-02-24,二次電池,3.6,151.58,2392,,,,,,,,
2026-02-24,太陽能,,,,,,7129,1184,7.26,,,
2026-02-24,概念股_3DIC聯盟,,,,141232,4904,,,,,,3998.0
2026-02-24,概念股_3D列印,,,,783899,7929,,,,5509.0,1724.0,
2026-02-24,概念股_3D感測,,,,248117,3260,,,,,,
2026-02-24,概念股_ADAS,,,,521730,12244,,,,,,
2026-02-24,概念股_AI PC,,,,,,34788,1408,,,,1316.0
2026-02-24,概念股_AMD,,,,505813,4456,,,,,,
2026-02-24,概念股_Apple,,,,989295,16127,,,,,,3824.0
2026-02-24,概念股_BBU,,,,,,,,,3948.0,,
2026-02-24,概念股_CoWoS,,,,,,,,,,,3898.0
2026-02-24,概念股_FANG,,,,,,19080,1116,,,,3129.0
2026-02-24,概念股_GB200,,,,,,,,,,,3393.0
2026-02-24,概念股_HBM,-1.05,131.51,7825,,,,,,,,
2026-02-24,概念股_IC載板,,,,,,,,,3725.0,,
2026-02-24,概念股_MWC,,,,,,,,,,,4307.0
2026-02-24,概念股_Micro LED,,,,,,,,,4636.0,115.0,
2026-02-24,概念股_MiniLED,,,,,,,,,5277.0,61.0,
2026-02-24,概念股_NFC,,,,,,,,,,,1392.0
2026-02-24,概念股_PCB,,,,349218,5845,18090,1872,,4721.0,1324.0,
2026-02-24,概念股_PS5,,,,,,,,,,,2206.0
2026-02-24,概念股_Switch,,,,346200,12106,,,,,,3813.0
2026-02-24,概念股_TPU,,,,,,,,,,,3030.0
2026-02-24,概念股_iPhone,,,,,,,,,,,3817.0
2026-02-24,概念股_一帶一路,,,,507500,4707,38101,4062,7.51,15856.0,-1633.0,
2026-02-24,概念股_三孩政策,2.35,139.74,2015,,,,,,,,
2026-02-24,概念股_人工智慧,,,,,,,,,,,3291.0
2026-02-24,概念股_夏季,,,,,,6192,1090,,,,
2026-02-24,概念股_太陽能,,,,,,30604,1570,,8072.0,1087.0,
2026-02-24,概念股_寵物,1.84,146.41,1142,,,,,,,,
2026-02-24,概念股_智慧城市,,,,,,,,,5300.0,788.0,
2026-02-24,概念股_智慧音箱,,,,,,,,,,,3597.0
2026-02-24,概念股_氣候變遷,,,,,,9935,1399,,,,3998.0
2026-02-24,概念股_水資源,2.73,116.97,896,,,,,,,,
2026-02-24,概念股_無線充電,,,,,,,,,,,3211.0
2026-02-24,概念股_無線耳機,,,,72203,3785,4488,1087,,,,
2026-02-24,概念股_物聯網,,,,427117,11787,,,,,,
2026-02-24,概念股_生物辨識,,,,,,18776,1225,,,,
2026-02-24,概念股_石英元件,2.93,118.93,201,,,,,,,,
2026-02-24,概念股_碳權,,,,,,16726,997,,,,4153.0
2026-02-24,概念股_福建自貿區,,,,,,,,,,-1460.0,
2026-02-24,概念股_穿載式裝置,,,,1220762,16298,,,,,,3420.0
2026-02-24,概念股_第三方支付,,,,,,19844,2649,9.16,,-385.0,
2026-02-24,概念股_虛擬貨幣,,,,,,,,,,,2334.0
2026-02-24,概念股_行動支付,,,,,,35451,3654,9.04,,,
2026-02-24,概念股_被動元件,,,,,,,,,8756.0,896.0,
2026-02-24,概念股_記憶體,,,,,,25765,1167,7.53,,,
2026-02-24,概念股_車用電子,,,,1414570,10879,,,,,,
2026-02-24,概念股_車聯網,,,,,,,,,,,2930.0
2026-02-24,概念股_連接器,,,,,,,,,,-1780.0,
2026-02-24,概念股_醫療器材耗材,,,,,,,,6.78,,,
2026-02-24,概念股_醫藥通路,-1.29,121.21,80,,,,,,,,
2026-02-24,概念股_銅箔,2.16,145.1,1776,,,,,11.8,,,
2026-02-24,概念股_鋁質電容,5.7,209.9,1230,,,,,,,,
2026-02-24,概念股_電動車,,,,421160,11876,,,,,,
2026-02-24,概念股_電容,9.38,153.21,8457,,,,,,6005.0,-111.0,
2026-02-24,概念股_電源供應器,,,,,,,,,4104.0,960.0,
2026-02-24,概念股_電競,,,,,,,,7.5,,,
2026-02-24,概念股_電阻,6.79,233.54,376,,,,,,,,
2026-02-24,概念股_風電,,,,,,14385,1392,6.84,3547.0,,
2026-02-24,概念股_鴻海MIH電動車平台,,,,635635,14356,,,,,,
2026-02-24,機殼,-1.83,117.13,4753,,,,,,,,
2026-02-24,消費電子,2.45,140.5,1759,,,,,,,,
2026-02-24,玻璃陶瓷,,,,81597,3493,9871,1144,12.1,,,
2026-02-24,被動元件,8.53,119.37,10623,,,,,,6754.0,-126.0,
2026-02-24,金屬製品,,,,,,,,16.56,,,
2026-02-24,金控,,,,,,18377,2271,14.59,10035.0,-1469.0,
2026-02-24,電子元件通路,4.06,113.45,135,,,,,,,,
2026-02-24,電源供應器,,,,,,,,,3494.0,,
2026-02-24,食品,1.43,127.72,1327,,,,,,,,
