Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,trust_amount,dealer_amount
2026-03-10,IC-半導體設備,,,,,,,,10.96,,
2026-03-10,IC-製造,,,,,,,,7.31,5.0,
2026-03-10,LCD-TFT面板,,,,597436,7946,34490,1942,,,
2026-03-10,PC介面卡,-4.66,137.04,37,,,,,,,
2026-03-10,保險,-2.59,223.6,199,,,,,,,
2026-03-10,塑膠,,,,277670,8927,14574,5986,,,
2026-03-10,太陽能,,,,,,,,11.33,,
2026-03-10,安全監控,-2.28,225,225,,,,,,,
2026-03-10,散熱零組件,,,,,,,,,391.0,
2026-03-10,概念股_3DIC聯盟,,,,,,,,,,-7826.0
2026-03-10,概念股_3D列印,,,,,,28866,1128,,229.0,
2026-03-10,概念股_3D感測,,,,,,,,,,-3841.0
2026-03-10,概念股_ADAS,,,,,,,,,346.0,
2026-03-10,概念股_AI PC,,,,,,,,,,-8817.0
2026-03-10,概念股_AMD,,,,,,,,,,-3398.0
2026-03-10,概念股_AWS,,,,,,,,,,-8750.0
2026-03-10,概念股_Apple,,,,,,,,,,-8822.0
2026-03-10,概念股_CES,,,,,,69048,1728,,,-10261.0
2026-03-10,概念股_ChatGPT,,,,,,,,,,-3775.0
2026-03-10,概念股_CoWoS,,,,,,,,,,-3521.0
2026-03-10,概念股_DANCE,,,,117308,666,,,,,
2026-03-10,概念股_FANG,,,,,,,,,,-3143.0
2026-03-10,概念股_FOPLP扇出型封裝,,,,387533,15470,20105,2788,,,
2026-03-10,概念股_GB200,,,,,,,,,,-8835.0
2026-03-10,概念股_IC載板,,,,,,,,,-1079.0,
2026-03-10,概念股_MIH概念股,,,,,,37406,1875,,,
2026-03-10,概念股_MWC,,,,942152,5570,40388,1850,,,-8038.0
2026-03-10,概念股_Micro LED,,,,657348,7635,35559,1769,,,
2026-03-10,概念股_MiniLED,,,,703638,8237,36151,1610,,,
2026-03-10,概念股_PCB材料,,,,26693,817,,,,,
2026-03-10,概念股_Switch,,,,,,12110,1166,,,
2026-03-10,概念股_TPU,,,,,,,,,,-3574.0
2026-03-10,概念股_Tesla,,,,,,34059,3586,,,
2026-03-10,概念股_Type C,,,,,,,,,-929.0,
2026-03-10,概念股_VR,,,,77355,616,,,,182.0,
2026-03-10,概念股_人工智慧,,,,,,,,,,-8067.0
2026-03-10,概念股_元宇宙,,,,,,,,,,-7987.0
2026-03-10,概念股_太陽能,,,,,,,,,243.0,
2026-03-10,概念股_手遊,,,,,,,,,-78.0,
2026-03-10,概念股_指紋辨識,-4.25,136.08,106185,,,,,,,
2026-03-10,概念股_新零售,,,,,,,,6.23,,
2026-03-10,概念股_智慧城市,,,,,,,,,313.0,
2026-03-10,概念股_智慧音箱,-4.38,144.01,125458,,,,,,,-3119.0
2026-03-10,概念股_智慧顯示器,,,,646535,4819,34883,1579,,,
2026-03-10,概念股_次世代半導體,-4.3,136.24,104001,,,,,,,
2026-03-10,概念股_無線充電,,,,,,,,,,-7800.0
2026-03-10,概念股_無線耳機,-4.81,136.51,15064,,,,,7.27,,
2026-03-10,概念股_生技服務,-5.36,135.78,444,,,,,,,
2026-03-10,概念股_穿載式裝置,,,,,,,,,,-8680.0
2026-03-10,概念股_行動支付,,,,,,,,,,-4023.0
2026-03-10,概念股_衛生保健,-2.6,144.44,13,,,,,,,
2026-03-10,概念股_製藥業,,,,,,,,11.76,,
2026-03-10,概念股_記憶體,,,,,,20434,949,7,-1438.0,
2026-03-10,概念股_資產股,,,,231108,6870,,,,,
2026-03-10,概念股_車聯網,,,,,,,,,,-9017.0
2026-03-10,概念股_軌道衛星,,,,607543,8077,32165,2562,,,
2026-03-10,概念股_農業生技,0.38,254.63,522,4375,636,,,,,
2026-03-10,概念股_醫療儀器設備,-2.63,160,56,,,,,,,
2026-03-10,概念股_銅箔,,,,,,,,8.76,,
2026-03-10,概念股_雙十一,,,,800132,8370,37025,1970,,,
2026-03-10,概念股_電商宅經濟,,,,,,,,,183.0,
2026-03-10,概念股_電感,,,,,,,,,322.0,
2026-03-10,概念股_電競,,,,,,,,6.6,,
2026-03-10,概念股_風電,,,,,,,,7.33,28.0,
2026-03-10,玻璃陶瓷,,,,,,,,11.86,,
2026-03-10,自行車,,,,,,,,7.17,,
2026-03-10,航運,-1.34,143.38,20788,282590,1729,,,,,
2026-03-10,記憶體IC設計,,,,,,,,,-1461.0,
2026-03-10,記憶體製造,,,,,,6737,1244,,,
2026-03-10,記憶體銷售,,,,,,,,,-98.0,
2026-03-10,連接元件,,,,,,,,,14.0,
2026-03-10,金屬製品,,,,,,,,7.46,,
2026-03-10,電信服務,,,,,,,,,-197.0,
