Date,SectorName,PriceChange,TurnoverChange,FundFlow,trust_amount,dealer_amount
2026-04-03,ABF,3.63,249.33,40464,1963.0,
2026-04-03,IC-其他,3.49,81.79,4042,,
2026-04-03,IC-製造,,,,446.0,
2026-04-03,LCD-TFT面板,,,,-56.0,
2026-04-03,LED照明及光元件,0.88,93.95,2222,,
2026-04-03,PCB-材料設備,,,,501.0,
2026-04-03,其他,2.42,121.17,1963,,
2026-04-03,半導體元件,3.62,58.9,6224,,
2026-04-03,概念股_3DIC聯盟,,,,,79.0
2026-04-03,概念股_3D感測,,,,,481.0
2026-04-03,概念股_5G,,,,,414.0
2026-04-03,概念股_ADAS,,,,2565.0,857.0
2026-04-03,概念股_AI PC,,,,,337.0
2026-04-03,概念股_AMD,,,,,-29.0
2026-04-03,概念股_AR,,,,1456.0,
2026-04-03,概念股_Apple,,,,,1191.0
2026-04-03,概念股_CES,,,,,1284.0
2026-04-03,概念股_GB300,,,,,-160.0
2026-04-03,概念股_HPC,,,,,-216.0
2026-04-03,概念股_IC載板,2.72,197.19,43520,,
2026-04-03,概念股_Micro LED,,,,-67.0,
2026-04-03,概念股_MiniLED,,,,-23.0,
2026-04-03,概念股_PCB,0.22,68.96,50442,,-651.0
2026-04-03,概念股_TPU,,,,,-722.0
2026-04-03,概念股_iPhone,,,,,139.0
2026-04-03,概念股_光通訊,,,,,-72.0
2026-04-03,概念股_夏季,,,,-2.0,
2026-04-03,概念股_太陽能,-1.08,66.1,30209,,-18.0
2026-04-03,概念股_新零售,-0.57,93.39,1428,,
2026-04-03,概念股_智慧顯示器,,,,13.0,
2026-04-03,概念股_特用化學,-0.09,104.55,2138,,
2026-04-03,概念股_穿載式裝置,,,,,2170.0
2026-04-03,概念股_美元升值,,,,,-979.0
2026-04-03,概念股_虛擬貨幣,,,,,796.0
2026-04-03,概念股_車用電子,,,,,1758.0
2026-04-03,概念股_車聯網,,,,,1317.0
2026-04-03,概念股_醫療管理顧問,-0.89,100,2,,
2026-04-03,概念股_銅箔基板,,,,695.0,
2026-04-03,概念股_長期照護,-0.51,122.45,8176,232.0,
2026-04-03,概念股_長照,-0.75,109.79,415,,
2026-04-03,概念股_雙十一,,,,386.0,
2026-04-03,概念股_電競,-0.75,82.66,7976,261.0,
2026-04-03,機殼,-2.76,74.82,2633,,
2026-04-03,記憶體IC設計,-5.18,56.61,6258,,
2026-04-03,記憶體銷售,0.45,189.77,9669,,
2026-04-03,通訊設備,,,,753.0,
2026-04-03,金控,,,,460.0,
2026-04-03,鋼鐵,,,,6.0,
