Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-26,IC-代工,,,,320787,8945,,,,,,,
2026-03-26,IC-通路,,,,,,,,3.51,,,,
2026-03-26,LED照明及光元件,4.73,44.92,2277,,,,,,,,,
2026-03-26,PCB-材料設備,,,,,,,,2.97,,,,371.0
2026-03-26,PCB-製造,,,,,,9836,669,,,,,
2026-03-26,其他,2.69,49.74,940,,,,,,,,,
2026-03-26,太陽能,,,,,,15006,2287,14.77,,,,
2026-03-26,文創娛樂,0.49,132,198,,,,,,,,,
2026-03-26,晶圓材料,,,,,,1868,602,4.21,,,,
2026-03-26,概念股_3DIC聯盟,,,,,,,,,,14557.0,2016.0,1950.0
2026-03-26,概念股_5G,,,,389995,8458,,,,,,,
2026-03-26,概念股_AI PC,,,,649730,13950,2627,659,,16104.0,12381.0,394.0,
2026-03-26,概念股_AMD,,,,,,,,,7893.0,,,2098.0
2026-03-26,概念股_AWS,,,,,,,,,20882.0,16115.0,1865.0,2902.0
2026-03-26,概念股_Apple,,,,,,2756,610,,29435.0,23602.0,1638.0,4195.0
2026-03-26,概念股_BBU,,,,,,,,,,,663.0,
2026-03-26,概念股_CES,,,,1893356,28641,12056,783,,20584.0,16843.0,176.0,
2026-03-26,概念股_ChatGPT,,,,,,,,,,,,1976.0
2026-03-26,概念股_CoWoS,,,,,,,,,,,,1498.0
2026-03-26,概念股_DANCE,2.04,52.1,35567,,,,,,,,,
2026-03-26,概念股_FANG,,,,352103,11730,,,,,,,
2026-03-26,概念股_GB200,,,,,,,,,22305.0,18378.0,1178.0,2749.0
2026-03-26,概念股_GB300,,,,,,,,,22751.0,17529.0,3115.0,2107.0
2026-03-26,概念股_HBM,2.29,42.81,3804,,,,,,,,,
2026-03-26,概念股_HPC,,,,,,,,,,,,1852.0
2026-03-26,概念股_Home Depot,-3.84,227.67,724,,,,,,,,,
2026-03-26,概念股_MIH概念股,,,,808729,14141,,,,,,,
2026-03-26,概念股_MWC,,,,937803,15808,,,,15070.0,12332.0,-7.0,
2026-03-26,概念股_Micro LED,,,,630602,7008,,,,,,,
2026-03-26,概念股_MiniLED,,,,680093,8156,,,,,,,
2026-03-26,概念股_PS5,,,,,,,,,17509.0,14659.0,262.0,
2026-03-26,概念股_TPU,,,,,,,,,,,,1464.0
2026-03-26,概念股_Tesla,,,,,,,,,,13638.0,942.0,
2026-03-26,概念股_Type C,,,,,,,,,,,,638.0
2026-03-26,概念股_iPhone,,,,,,,,,28766.0,24473.0,1522.0,2771.0
2026-03-26,概念股_一帶一路,,,,,,11679,1358,,,16903.0,502.0,
2026-03-26,概念股_人工智慧,,,,,,,,,13713.0,9862.0,,
2026-03-26,概念股_元宇宙,,,,,,,,,15124.0,11488.0,1519.0,2117.0
2026-03-26,概念股_夏季,,,,,,12365,2161,6.54,,,,
2026-03-26,概念股_太陽能,,,,,,15892,2179,,,,,
2026-03-26,概念股_指紋辨識,,,,,,,,,,,,1340.0
2026-03-26,概念股_智慧顯示器,,,,614839,7016,,,,,,,
2026-03-26,概念股_氣候變遷,2.55,46.1,39434,,,15182,2296,4.77,15380.0,12595.0,756.0,
2026-03-26,概念股_無線充電,,,,,,3176,653,,15584.0,13196.0,49.0,
2026-03-26,概念股_無線耳機,,,,,,,,6.4,,,,
2026-03-26,概念股_生物辨識,,,,326044,9468,,,,,,,
2026-03-26,概念股_矽晶圓,,,,,,1500,586,4.43,,,,
2026-03-26,概念股_碳權,2.61,42.87,41630,,,15374,2410,3.47,17156.0,13818.0,1077.0,2261.0
2026-03-26,概念股_穿載式裝置,,,,1226483,7382,,,,13327.0,8389.0,,
2026-03-26,概念股_美元升值,,,,,,,,,,,,1183.0
2026-03-26,概念股_虛擬貨幣,,,,,,3242,613,,16782.0,13065.0,1211.0,2506.0
2026-03-26,概念股_行動支付,,,,369272,8478,,,,-1601.0,,,
2026-03-26,概念股_記憶體,,,,484487,7005,8655,548,,,,,
2026-03-26,概念股_車用電子,,,,1381084,10018,,,,10032.0,,,
2026-03-26,概念股_車聯網,,,,1122995,18808,,,,12003.0,,,
2026-03-26,概念股_軌道衛星,,,,584481,9202,13031,2779,,,,,
2026-03-26,概念股_連接器,,,,,,,,,,,,458.0
2026-03-26,概念股_遠距教學,8.87,46.71,5288,,,,,,,,,
2026-03-26,概念股_醫療儀器設備,1.21,50,18,,,,,,,,,
2026-03-26,概念股_醫療管理顧問,0.22,100,2,,,,,,,,,
2026-03-26,概念股_銅箔,2.24,58.91,2736,,,,,5.25,,,,
2026-03-26,概念股_防疫,,,,,,,,4.63,,,,
2026-03-26,概念股_電動車,,,,,,,,,,16186.0,986.0,
2026-03-26,概念股_風電,,,,,,12251,1611,6.82,,,,
2026-03-26,概念股_鴻海MIH電動車平台,,,,,,,,,,,-909.0,
2026-03-26,玻璃陶瓷,4.11,49.2,1961,,,10449,1467,12.37,,,,
2026-03-26,網通,,,,157610,6664,,,,,,,
2026-03-26,自行車,,,,,,,,3.25,,,,
2026-03-26,記憶體銷售,,,,,,,,9.56,,,,
2026-03-26,通訊設備,,,,,,,,3.59,,,,
2026-03-26,連接元件,4.6,42.43,7105,,,,,,,,,120.0
2026-03-26,金屬製品,,,,,,,,21.8,,,,
2026-03-26,電子元件通路,5.77,152.85,509,,,,,,,,,
