Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,trust_amount,dealer_amount
2026-03-13,ABF,,,,,,,,,-499.0,
2026-03-13,IC-半導體設備,,,,,,,,12.44,,
2026-03-13,IC-封測,,,,,,,,,,-555.0
2026-03-13,IC-導線架,,,,,,997,222,,,
2026-03-13,IC-製造,,,,,,,,5.95,-455.0,
2026-03-13,IC-設計,,,,,,,,,,-2.0
2026-03-13,IC-通路,,,,,,2269,246,,93.0,
2026-03-13,LCD-STN面板,0.42,107.66,1082,,,,,,,
2026-03-13,LCD-TFT面板,,,,,,,,6.43,-40.0,
2026-03-13,LED照明及光元件,2.39,91.39,2845,,,2927,1132,,,
2026-03-13,NB與手機零組件,,,,,,,,,,-116.0
2026-03-13,RAN,,,,,,2663,350,,,
2026-03-13,儀器設備工程,,,,,,,,,-171.0,
2026-03-13,其他,1.76,81.44,873,,,1485,403,,-61.0,
2026-03-13,其他,1.76,81.44,873,,,5560,276,,-61.0,
2026-03-13,塑膠,,,,294536,12520,,,,,
2026-03-13,太陽能,-1.42,74.08,8844,,,,,8.7,,
2026-03-13,散熱零組件,,,,,,,,,,507.0
2026-03-13,數位相機,,,,,,736,489,,,
2026-03-13,概念股_3DIC聯盟,,,,,,,,,,658.0
2026-03-13,概念股_3D列印,,,,,,,,,-502.0,
2026-03-13,概念股_ADAS,,,,,,,,,-518.0,
2026-03-13,概念股_AMD,,,,,,13455,876,,,
2026-03-13,概念股_Apple,,,,987988,26322,,,,,
2026-03-13,概念股_CES,,,,1938760,12642,,,,,
2026-03-13,概念股_ChatGPT,,,,,,,,,,583.0
2026-03-13,概念股_CoWoS,,,,,,,,,,-182.0
2026-03-13,概念股_FOPLP扇出型封裝,,,,440968,14903,28972,1063,6.57,,
2026-03-13,概念股_HBM,,,,,,,,,-800.0,
2026-03-13,概念股_IC載板,,,,,,,,,-414.0,
2026-03-13,概念股_MIH概念股,,,,891145,11493,45319,277,,,
2026-03-13,概念股_MWC,,,,994896,10019,,,,,
2026-03-13,概念股_Micro LED,,,,712990,10948,,,6.09,,
2026-03-13,概念股_MiniLED,,,,764710,11287,44899,933,5.87,,
2026-03-13,概念股_PCB,,,,,,,,,-602.0,
2026-03-13,概念股_RFID,,,,,,,,6.76,,
2026-03-13,概念股_Switch,,,,342213,11994,,,,,
2026-03-13,概念股_TPU,,,,,,,,,,390.0
2026-03-13,概念股_Tesla,,,,721459,28323,,,,,
2026-03-13,概念股_Type C,,,,,,6070,218,,,
2026-03-13,概念股_iPhone,,,,359474,15275,,,,,342.0
2026-03-13,概念股_一帶一路,,,,,,,,,,-590.0
2026-03-13,概念股_保健食品,-1.15,89.16,74,,,,,,,
2026-03-13,概念股_夏季,-0.52,82.37,10067,,,,,,,
2026-03-13,概念股_太陽能,,,,,,,,,60.0,
2026-03-13,概念股_寵物,0.15,84.44,646,,,,,,,
2026-03-13,概念股_散熱模組,,,,,,,,,524.0,389.0
2026-03-13,概念股_智慧顯示器,,,,707834,9407,,,6.04,-41.0,
2026-03-13,概念股_氣候變遷,,,,,,,,,,493.0
2026-03-13,概念股_氫燃料電池,,,,,,,,,,165.0
2026-03-13,概念股_濾波器,5.29,215.67,1046,,,,,,,
2026-03-13,概念股_物聯網,,,,417266,10007,,,,,
2026-03-13,概念股_生技服務,-3.35,93.62,323,,,,,,,
2026-03-13,概念股_矽晶圓,-6.58,102.74,2622,,,,,,,
2026-03-13,概念股_碳權,,,,450668,9481,,,,,
2026-03-13,概念股_福建自貿區,,,,,,,,,,-119.0
2026-03-13,概念股_穿載式裝置,,,,1199849,21688,,,,,
2026-03-13,概念股_行動支付,,,,,,,,,,-93.0
2026-03-13,概念股_軌道衛星,,,,668511,21066,,,,,
2026-03-13,概念股_農業生技,0.97,127.83,147,,,,,,,
2026-03-13,概念股_連接器,,,,,,,,,,-197.0
2026-03-13,概念股_醫療管理顧問,-0.44,80,4,,,,,,,
2026-03-13,概念股_銅箔,,,,,,,,8.76,,
2026-03-13,概念股_長期照護,,,,,,,,,73.0,
2026-03-13,概念股_雙十一,,,,854148,8885,,,,-130.0,
2026-03-13,概念股_電動車,,,,436576,14506,,,,,
2026-03-13,概念股_電源供應器,,,,,,2792,679,,,
2026-03-13,概念股_電競,,,,,,,,6.08,139.0,
2026-03-13,概念股_風電,,,,,,,,7.38,,
2026-03-13,概念股_鴻海MIH電動車平台,,,,621301,12252,,,,,
2026-03-13,概念股_黃金,,,,,,,,,0.0,
2026-03-13,機殼,,,,,,2209,717,,,
2026-03-13,玻璃陶瓷,,,,,,,,12.45,,
2026-03-13,自行車,,,,,,,,8.01,,
2026-03-13,通訊設備,,,,,,7460,794,8.21,,
2026-03-13,連接元件,,,,,,3003,233,,,
2026-03-13,運動休閒,-0.56,85.44,135,,,,,,,
2026-03-13,金控,,,,,,,,,,-171.0
2026-03-13,電機,,,,,,,,,,-89.0
