Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-06,EMS,,,,,,,,,4078.0,3098.0,651.0,
2026-03-06,IC-半導體設備,,,,,,,,10.31,2441.0,2317.0,-48.0,
2026-03-06,IC-封測,6.57,15.11,7006,,,,,,,-588.0,,
2026-03-06,IC-製造,,,,312497,16176,22429,3473,7.18,,,,
2026-03-06,IC-通路,6.05,36.61,3408,,,,,,,-19.0,,
2026-03-06,LCD-TFT面板,6.02,11.9,3008,563547,14796,,,,-1373.0,,,
2026-03-06,RAN,,,,,,,,,1044.0,1017.0,-164.0,
2026-03-06,主機板,,,,,,,,,,,0.0,
2026-03-06,二次電池,3.9,21.77,870,,,,,,,,-15.0,
2026-03-06,儀器設備工程,,,,,,,,,1540.0,801.0,524.0,
2026-03-06,半導體元件,0.09,45.02,4882,,,,,,,,,
2026-03-06,太陽能,1.76,18.2,1881,,,10890,2284,11.19,,,,
2026-03-06,工業電腦,7.37,16.74,436,,,,,,,994.0,13.0,
2026-03-06,散熱零組件,,,,,,,,,,,-197.0,
2026-03-06,文創娛樂,1,54.49,97,,,,,,,,,
2026-03-06,晶圓材料,3.84,36.64,1973,,,,,,,,,
2026-03-06,概念股_3DIC聯盟,,,,,,,,,,,,-565.0
2026-03-06,概念股_3D列印,,,,776029,17457,28679,3774,,,,,
2026-03-06,概念股_ADAS,,,,513232,13367,26113,3761,,,,,
2026-03-06,概念股_AI PC,,,,,,28616,2051,,,,,-954.0
2026-03-06,概念股_AMD,,,,,,,,,,,,-333.0
2026-03-06,概念股_AWS,,,,,,,,,-12083.0,,,852.0
2026-03-06,概念股_Apple,,,,982115,12972,27034,1836,,,,,-1245.0
2026-03-06,概念股_CES,,,,,,64425,2176,,,,,-1402.0
2026-03-06,概念股_ChatGPT,,,,,,,,,-8123.0,,,
2026-03-06,概念股_CoWoS,,,,,,,,,,,,-452.0
2026-03-06,概念股_DANCE,,,,,,,,,-15048.0,,,
2026-03-06,概念股_FOPLP扇出型封裝,,,,347055,13916,,,,,,,
2026-03-06,概念股_GB200,,,,,,,,,-11702.0,,,232.0
2026-03-06,概念股_GB300,,,,,,,,,3193.0,-4327.0,,350.0
2026-03-06,概念股_Home Depot,1.35,33.1,144,,,,,,,,,
2026-03-06,概念股_MIH概念股,,,,799928,21421,33522,1867,,,,,
2026-03-06,概念股_MWC,,,,912792,8729,,,,,,,
2026-03-06,概念股_Micro LED,,,,621140,14334,,,,,,,
2026-03-06,概念股_MiniLED,,,,668482,15428,,,,,,,
2026-03-06,概念股_Oracle甲骨文,,,,,,,,,4579.0,3437.0,724.0,
2026-03-06,概念股_PS5,,,,,,,,,,,,-826.0
2026-03-06,概念股_RFID,,,,,,,,7.09,,,,
2026-03-06,概念股_Switch,,,,,,11786,2022,,,,,
2026-03-06,概念股_TPU,,,,,,,,,,,,-1162.0
2026-03-06,概念股_Tesla,,,,629459,25863,28130,2152,,,,,
2026-03-06,概念股_Type C,,,,,,,,,,-1166.0,,
2026-03-06,概念股_VR,,,,,,,,,,,-204.0,
2026-03-06,概念股_iPhone,,,,,,,,,,,,-768.0
2026-03-06,概念股_人工智慧,,,,,,,,,,,,-40.0
2026-03-06,概念股_光通訊,4.37,56.51,23324,,,,,,,,,
2026-03-06,概念股_共享單車,,,,,,,,,,912.0,31.0,
2026-03-06,概念股_功率半導體,,,,,,,,,-12781.0,,,
2026-03-06,概念股_太陽能,,,,,,31384,3752,,,,,
2026-03-06,概念股_居家辦公(WFH),,,,,,,,,,1114.0,-12.0,
2026-03-06,概念股_指紋辨識,,,,,,,,,-16447.0,,,
2026-03-06,概念股_散熱模組,,,,,,,,,1167.0,571.0,,
2026-03-06,概念股_智慧顯示器,,,,612729,16855,,,,,,,
2026-03-06,概念股_氣候變遷,,,,,,13069,2327,,-16441.0,,,
2026-03-06,概念股_濾波器,-7.83,18.1,208,,,,,,,,,
2026-03-06,概念股_無線充電,,,,,,,,,,,,12.0
2026-03-06,概念股_無線耳機,,,,,,,,8.4,,,,
2026-03-06,概念股_物聯網,,,,,,15352,2018,,,,,
2026-03-06,概念股_生物辨識,,,,300255,10043,,,,,,,
2026-03-06,概念股_碳權,,,,,,18940,2051,,,,,-190.0
2026-03-06,概念股_穿載式裝置,,,,1192278,12217,41760,4002,,,,,-565.0
2026-03-06,概念股_虛擬貨幣,,,,,,,,,,,,-294.0
2026-03-06,概念股_行動支付,,,,369748,9779,,,,,,,-672.0
2026-03-06,概念股_製藥業,,,,,,,,16.03,,,,
2026-03-06,概念股_記憶體,,,,,,22065,1972,7.04,,,,
2026-03-06,概念股_資訊月,,,,,,,,,,2000.0,-106.0,
2026-03-06,概念股_車用電子,,,,,,55463,4547,,,,,-1062.0
2026-03-06,概念股_車聯網,,,,1107248,18320,49811,3093,,,,,-491.0
2026-03-06,概念股_軌道衛星,,,,574032,14614,,,,,,,
2026-03-06,概念股_連接器,,,,,,,,,2353.0,-65.0,,
2026-03-06,概念股_遠距教學,,,,,,,,,997.0,1078.0,-255.0,
2026-03-06,概念股_醫療器材耗材,2.88,18.45,1649,,,,,6.25,,,,
2026-03-06,概念股_銅箔,,,,,,,,8.78,,,,
2026-03-06,概念股_雙十一,,,,767031,14121,,,,,,,
2026-03-06,概念股_電動車,,,,434158,12734,19851,1905,,,,,
2026-03-06,概念股_電商宅經濟,,,,,,,,,,1057.0,66.0,
2026-03-06,概念股_電競,,,,,,,,6.87,,,,
2026-03-06,概念股_風電,,,,,,,,6.9,,,,
2026-03-06,概念股_鴻海MIH電動車平台,,,,,,17785,2571,,,,,
2026-03-06,概念股_黃金,8.51,39.48,334,,,,,,,,,
2026-03-06,玻璃陶瓷,,,,,,,,12.22,,,,
2026-03-06,生技,,,,,,,,,,,36.0,
