Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-05,IC-代工,,,,,,10796,713,,-45766.0,,,1014.0
2026-03-05,IC-半導體設備,,,,,,,,9.71,,2358.0,-675.0,
2026-03-05,IC-封測,,,,,,,,,,3121.0,-732.0,
2026-03-05,IC-製造,,,,,,,,6.4,,7488.0,-569.0,
2026-03-05,IC-通路,2.27,68.64,3789,,,,,,,,,
2026-03-05,NB與手機零組件,,,,,,,,,,267.0,,
2026-03-05,儀器設備工程,,,,136855,1632,,,,,,,
2026-03-05,其他,,,,,,1531,96,,,,,
2026-03-05,其他,,,,,,1443,65,,,,,
2026-03-05,半導體元件,,,,,,,,6.28,,,,
2026-03-05,商業自動化,-4.18,107.3,191,,,,,,,,,
2026-03-05,太陽能,,,,,,,,8.9,,,-7.0,
2026-03-05,晶圓材料,,,,,,,,,,437.0,,
2026-03-05,概念股_3DIC聯盟,,,,,,,,,-49569.0,,,
2026-03-05,概念股_3D列印,,,,,,,,,,4460.0,-171.0,
2026-03-05,概念股_3D感測,,,,,,,,,,,,133.0
2026-03-05,概念股_ADAS,,,,,,,,,,8495.0,-867.0,
2026-03-05,概念股_AMD,,,,,,,,,-54581.0,,,1989.0
2026-03-05,概念股_AWS,,,,,,,,,,,,-136.0
2026-03-05,概念股_Apple,,,,,,,,,,,,84.0
2026-03-05,概念股_ChatGPT,,,,,,,,,-52684.0,,,
2026-03-05,概念股_Chromebook,,,,153221,1068,,,,,,,
2026-03-05,概念股_CoWoS,,,,,,,,,-46381.0,,,
2026-03-05,概念股_DANCE,,,,115889,886,,,,-53025.0,,,
2026-03-05,概念股_FANG,,,,,,,,,-55069.0,,,
2026-03-05,概念股_FOPLP扇出型封裝,,,,,,,,,,3411.0,-841.0,
2026-03-05,概念股_GB200,,,,,,,,,,,,460.0
2026-03-05,概念股_HBM,,,,,,,,,,2996.0,-640.0,
2026-03-05,概念股_HPC,,,,,,,,,-57688.0,,,
2026-03-05,概念股_MWC,,,,,,,,,,,,396.0
2026-03-05,概念股_Oracle甲骨文,,,,183274,998,,,,,,,
2026-03-05,概念股_RFID,,,,,,,,7.17,,,,
2026-03-05,概念股_Switch,,,,,,,,,-52582.0,,,1315.0
2026-03-05,概念股_TPU,,,,,,,,,-53303.0,,,744.0
2026-03-05,概念股_Tesla,,,,,,,,,,2353.0,2283.0,
2026-03-05,概念股_一帶一路,,,,,,,,,,,,-736.0
2026-03-05,概念股_人工智慧,,,,,,,,,,,,235.0
2026-03-05,概念股_元宇宙,,,,,,,,,,,,551.0
2026-03-05,概念股_功率半導體,,,,,,,,,-46730.0,,,1606.0
2026-03-05,概念股_指紋辨識,,,,,,,,,-45138.0,,,
2026-03-05,概念股_新零售,,,,,,1797,67,,,,,
2026-03-05,概念股_旅展,,,,95623,668,1773,65,,,,,
2026-03-05,概念股_智慧醫療,,,,,,820,62,,,,,
2026-03-05,概念股_智慧音箱,,,,155981,1204,,,,-61120.0,,,927.0
2026-03-05,概念股_智慧顯示器,,,,,,,,,,1133.0,-27.0,
2026-03-05,概念股_次世代半導體,,,,,,,,,-45601.0,,,
2026-03-05,概念股_氣候變遷,,,,,,,,,-49101.0,,,
2026-03-05,概念股_水資源,,,,,,445,153,,,,,
2026-03-05,概念股_無線充電,,,,,,,,,-63536.0,,,632.0
2026-03-05,概念股_無線耳機,,,,,,,,8.66,,,,
2026-03-05,概念股_生物檢測,-2.95,72.22,13,,,,,,,,,
2026-03-05,概念股_生物相似藥,-4.17,64.41,38,,,,,,,,,
2026-03-05,概念股_生物辨識,,,,,,,,,-43297.0,,,
2026-03-05,概念股_矽晶圓,,,,,,1428,96,,,411.0,,
2026-03-05,概念股_碳權,,,,,,,,,-50345.0,,,1063.0
2026-03-05,概念股_穿載式裝置,,,,,,,,,,,,485.0
2026-03-05,概念股_第三方支付,,,,200883,2092,,,,,,,-53.0
2026-03-05,概念股_自動駕駛,,,,,,,,,,,-6.0,
2026-03-05,概念股_行動支付,,,,,,,,,-50456.0,,,693.0
2026-03-05,概念股_衛生保健,-2.49,75,12,,,,,,,,,
2026-03-05,概念股_製藥業,,,,33667,4172,4297,2181,12.76,,,,
2026-03-05,概念股_記憶體,,,,,,,,6.55,,15880.0,-3579.0,
2026-03-05,概念股_資產股,,,,,,1345,96,,,,,
2026-03-05,概念股_車聯網,,,,,,,,,,,,-187.0
2026-03-05,概念股_軍工,,,,93979,920,,,,,,,
2026-03-05,概念股_醫療儀器設備,-1.83,95.12,39,,,,,,,,,
2026-03-05,概念股_醫療器材耗材,,,,,,,,6.61,,881.0,27.0,
2026-03-05,概念股_醫療管理顧問,-1.5,100,3,,,,,,,,,
2026-03-05,概念股_銅箔,,,,43298,1945,3957,199,9.14,,,,
2026-03-05,概念股_長期照護,,,,,,15791,576,,,,,
2026-03-05,概念股_電競,,,,,,15478,552,6.42,,,,
2026-03-05,概念股_風電,,,,,,,,6.94,,,,
2026-03-05,消費電子,-2.39,105.5,1612,,,,,,,,,
2026-03-05,玻璃陶瓷,,,,,,,,12.86,,,,
2026-03-05,生技,,,,234152,2804,5136,2233,,,,,
2026-03-05,筆記型電腦,,,,178978,1392,,,,,,,
2026-03-05,紙業,-4.04,95.96,95,,,,,,,,,
2026-03-05,紡織纖維,,,,,,548,70,,,,,
2026-03-05,航運,,,,278449,1563,8569,830,,,,,
2026-03-05,記憶體IC設計,,,,,,,,,,4023.0,-1483.0,
2026-03-05,記憶體製造,,,,,,,,,,7179.0,-1356.0,
2026-03-05,通訊設備,,,,,,,,6.09,,1085.0,-261.0,
2026-03-05,連接元件,,,,,,,,,,368.0,,
2026-03-05,金屬製品,,,,,,,,7.64,,,,
2026-03-05,金控,-4.53,104.72,14298,102442,3031,,,,,,,
2026-03-05,銀行,-2.74,100.56,1625,36293,1420,,,,,,,
2026-03-05,電信服務,,,,,,,,,,,21.0,
2026-03-05,高爾夫球,-2.7,65.88,56,,,,,,,,,
