Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-03-19,ABF,,,,,,,5492.0,962.0,735.0
2026-03-19,IC-封測,,,,206503,9241,,,,1039.0
2026-03-19,IC-製造,,,,341613,7710,,8583.0,-367.0,
2026-03-19,儀器設備工程,,,,,,,,,159.0
2026-03-19,晶圓材料,6.86,134.07,3581,,,,,,
2026-03-19,概念股_3DIC聯盟,,,,,,9204.0,4393.0,2424.0,2387.0
2026-03-19,概念股_3D列印,,,,808801,13194,,11692.0,-181.0,
2026-03-19,概念股_3D感測,,,,,,1158.0,,,3456.0
2026-03-19,概念股_5G,,,,377964,8544,,,,
2026-03-19,概念股_ADAS,,,,549335,12073,,11064.0,133.0,
2026-03-19,概念股_AI PC,,,,672304,17358,221.0,,,
2026-03-19,概念股_AMD,,,,,,,6518.0,1670.0,1917.0
2026-03-19,概念股_AWS,,,,,,-7162.0,,,
2026-03-19,概念股_Apple,,,,1038048,13367,5205.0,,,
2026-03-19,概念股_CES,,,,1916116,9418,8766.0,2384.0,,4776.0
2026-03-19,概念股_ChatGPT,,,,,,,,-1020.0,
2026-03-19,概念股_CoWoS,,,,,,11009.0,5790.0,2879.0,2340.0
2026-03-19,概念股_FANG,,,,355697,11011,,,-1453.0,
2026-03-19,概念股_HPC,,,,,,3262.0,,,3058.0
2026-03-19,概念股_IC載板,,,,,,,7115.0,956.0,843.0
2026-03-19,概念股_MIH概念股,,,,835023,11043,,,,
2026-03-19,概念股_MWC,,,,,,-384.0,,,
2026-03-19,概念股_PS5,,,,,,-882.0,,,2637.0
2026-03-19,概念股_RFID,3.83,75.96,986,,,,,,
2026-03-19,概念股_Switch,,,,,,548.0,,,
2026-03-19,概念股_TPU,,,,,,7151.0,4731.0,-199.0,
2026-03-19,概念股_Type C,,,,,,,,,1647.0
2026-03-19,概念股_iPhone,,,,380909,10142,-25.0,,,3565.0
2026-03-19,概念股_一帶一路,,,,511097,9134,,,,
2026-03-19,概念股_人工智慧,,,,,,7817.0,3297.0,,3598.0
2026-03-19,概念股_元宇宙,,,,,,10134.0,7356.0,117.0,
2026-03-19,概念股_太陽能,,,,,,,5095.0,803.0,660.0
2026-03-19,概念股_小米,,,,,,,,,987.0
2026-03-19,概念股_建材,1.75,107.71,405,,,,,,
2026-03-19,概念股_智慧城市,,,,,,,,-194.0,
2026-03-19,概念股_智慧電網,1.4,95.4,3941,,,,,,
2026-03-19,概念股_智慧音箱,,,,,,-7950.0,,,
2026-03-19,概念股_次世代半導體,,,,,,,4091.0,,
2026-03-19,概念股_無人機,,,,,,,,,1088.0
2026-03-19,概念股_無線充電,,,,,,-2691.0,,,
2026-03-19,概念股_生技服務,3.19,75.74,693,,,,,,
2026-03-19,概念股_生物相似藥,3.28,196.77,61,,,,,,
2026-03-19,概念股_生物辨識,,,,321416,14145,,5034.0,66.0,
2026-03-19,概念股_矽晶圓,7.78,183.98,6167,,,,,,
2026-03-19,概念股_穿載式裝置,,,,1265592,18026,16009.0,10544.0,1501.0,3964.0
2026-03-19,概念股_線上遊戲,1.9,75.09,799,,,,,,
2026-03-19,概念股_美元升值,,,,383139,8726,,,,
2026-03-19,概念股_虛擬貨幣,,,,,,7001.0,4252.0,252.0,
2026-03-19,概念股_行動支付,,,,377368,12902,,3498.0,,
2026-03-19,概念股_製藥業,2.64,96.29,1505,,,,,,
2026-03-19,概念股_記憶體,,,,538381,14724,,,-178.0,
2026-03-19,概念股_車用電子,,,,1410832,18073,,5262.0,1145.0,1631.0
2026-03-19,概念股_車聯網,,,,1150691,13482,567.0,,,
2026-03-19,概念股_連接器,,,,,,,,,595.0
2026-03-19,概念股_醫藥通路,-2.1,108.33,52,,,,,,
2026-03-19,玻璃陶瓷,3.41,760.73,9745,82990,10344,,,,
2026-03-19,磁碟陣列,2.58,275.57,722,,,,,,
2026-03-19,綠能環保,0.84,87.12,1670,,,,,,
2026-03-19,遊戲,1.9,74.98,797,,,,,,
2026-03-19,電子元件通路,2.48,98.48,195,,,,,,
2026-03-19,顯示器,-0.61,75.32,418,,,,,,
