Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-02-25,ABF,9.97,80.82,24560,,,,,,
2026-02-25,IC-代工,,,,311515,13244,28541.0,23296.0,1958.0,
2026-02-25,IC-導線架,-1.81,177.7,2710,,,,,,
2026-02-25,IC-製造,,,,332394,13348,,,,
2026-02-25,概念股_3DIC聯盟,,,,,,20542.0,,,3358.0
2026-02-25,概念股_3D列印,,,,800333,15989,,,,
2026-02-25,概念股_3D感測,,,,,,33119.0,25676.0,3798.0,
2026-02-25,概念股_ADAS,,,,538844,17114,,,,
2026-02-25,概念股_AI PC,,,,703301,16291,33424.0,21959.0,7030.0,4435.0
2026-02-25,概念股_AMD,,,,,,23122.0,,,3764.0
2026-02-25,概念股_AWS,,,,,,37937.0,29413.0,4568.0,3956.0
2026-02-25,概念股_Apple,,,,,,46969.0,34562.0,7063.0,5344.0
2026-02-25,概念股_CES,,,,1872445,12423,46379.0,36443.0,4688.0,5248.0
2026-02-25,概念股_CoWoS,,,,,,,,,2861.0
2026-02-25,概念股_FANG,,,,365764,13616,22995.0,,,3376.0
2026-02-25,概念股_FOPLP扇出型封裝,,,,270686,8140,,,,
2026-02-25,概念股_GB200,,,,,,29024.0,20653.0,4741.0,3630.0
2026-02-25,概念股_GB300,,,,,,,,-326.0,
2026-02-25,概念股_HPC,,,,,,28157.0,,,3687.0
2026-02-25,概念股_IC載板,9.69,75.28,27456,,,,,,
2026-02-25,概念股_MIH概念股,,,,736582,22405,,,,
2026-02-25,概念股_MWC,,,,,,37341.0,30833.0,3145.0,
2026-02-25,概念股_NFC,,,,,,,22452.0,4196.0,2723.0
2026-02-25,概念股_PCB,,,,358100,8882,,,,
2026-02-25,概念股_PCB材料,2.17,60.89,495,,,,,,
2026-02-25,概念股_PS5,,,,,,31220.0,21089.0,6131.0,4000.0
2026-02-25,概念股_Switch,,,,,,,23299.0,3246.0,
2026-02-25,概念股_TPU,,,,,,,,,3105.0
2026-02-25,概念股_Tesla,,,,560387,11431,,,,
2026-02-25,概念股_iPhone,,,,,,28250.0,17086.0,,3798.0
2026-02-25,概念股_人工智慧,,,,,,41654.0,34200.0,4061.0,3393.0
2026-02-25,概念股_保健食品,-1.18,82.5,99,,,,,,
2026-02-25,概念股_元宇宙,,,,,,28831.0,23578.0,1883.0,
2026-02-25,概念股_智慧醫療,1.06,80.35,274,,,,,,
2026-02-25,概念股_智慧音箱,,,,,,,25264.0,2777.0,
2026-02-25,概念股_無線充電,,,,,,36245.0,29962.0,3025.0,
2026-02-25,概念股_環境工程,2.97,167.38,1945,,,,,,
2026-02-25,概念股_生物辨識,,,,326133,15308,,,,2725.0
2026-02-25,概念股_碳權,,,,,,,24426.0,2649.0,
2026-02-25,概念股_穿載式裝置,,,,1235659,14670,44637.0,35805.0,4637.0,4195.0
2026-02-25,概念股_虛擬貨幣,,,,,,28326.0,19675.0,,3882.0
2026-02-25,概念股_行動支付,,,,404499,12491,,,,3008.0
2026-02-25,概念股_記憶體,,,,356489,14198,,,,
2026-02-25,概念股_車用電子,,,,,,,,2206.0,
2026-02-25,概念股_車聯網,,,,1051894,10756,48792.0,39271.0,4629.0,4892.0
2026-02-25,概念股_軌道衛星,,,,504276,13390,,,,
2026-02-25,概念股_銅箔,9.88,455.2,13656,,,,,,
2026-02-25,概念股_電動車,,,,430162,9002,,,,
2026-02-25,概念股_電容,6.71,119.52,16705,,,,,,
2026-02-25,概念股_電阻,5.31,68.16,366,,,,,,
2026-02-25,玻璃陶瓷,8.99,92.92,6501,,,,,,
2026-02-25,紙業,2.15,177.85,281,,,,,,
2026-02-25,綠能環保,2.25,64.97,1521,,,,,,
2026-02-25,聲學元件,2.16,192.86,27,,,,,,
2026-02-25,被動元件,6.37,92.91,18138,,,,,,
