TagId,TagName,TagType,StockCode,StockName
C30010,高爾夫球,category,8938,明安
C30010,高爾夫球,category,9960,邁達康
C30010,高爾夫球,category,6670,復盛應用
C30011,運動休閒,category,1432,大魯閣
C30011,運動休閒,category,1515,力山
C30011,運動休閒,category,1517,利奇
C30011,運動休閒,category,1593,祺驊
C30011,運動休閒,category,1598,岱宇
C30011,運動休閒,category,1736,喬山
C30011,運動休閒,category,2762,世界健身-KY
C30011,運動休閒,category,4536,拓凱
C30012,文創娛樂,category,2496,卓越
C30012,文創娛樂,category,2926,誠品生活
C30012,文創娛樂,category,4806,桂田文創
C30012,文創娛樂,category,6101,寬魚國際
C30012,文創娛樂,category,6294,智基
C30012,文創娛樂,category,6596,寬宏藝術
C30012,文創娛樂,category,6625,必應
C30012,文創娛樂,category,6856,鑫傳
C30013,綠能環保,category,3073,天方能源
C30013,綠能環保,category,3708,上緯投控
C30013,綠能環保,category,3712,永崴投控
C30013,綠能環保,category,6581,鋼聯
C30013,綠能環保,category,6624,萬年清
C30013,綠能環保,category,6641,基士德-KY
C30013,綠能環保,category,6771,平和環保-創
C30013,綠能環保,category,6803,崑鼎
C30014,照明,category,1611,中電
C30014,照明,category,2491,吉祥全
C30014,照明,category,4972,湯石照明
C23010,IC-設計,category,2363,矽統
C23010,IC-設計,category,2379,瑞昱
C23010,IC-設計,category,2388,威盛
C23010,IC-設計,category,2401,凌陽
C23010,IC-設計,category,2436,偉詮電
C23010,IC-設計,category,2454,聯發科
C23010,IC-設計,category,2458,義隆
C23010,IC-設計,category,3034,聯詠
C23020,IC-代工,category,2303,聯電
C23020,IC-代工,category,2330,台積電
C23020,IC-代工,category,5347,世界
C23020,IC-代工,category,8086,宏捷科
C23020,IC-代工,category,3105,穩懋
C23020,IC-代工,category,5299,杰力
C23020,IC-代工,category,6770,力積電
C23020,IC-代工,category,1560,中砂
C23030,IC-DRAM製造,category,2408,南亞科
C23040,DRAM銷售,category,2451,創見
C23040,DRAM銷售,category,3260,威剛
C23040,DRAM銷售,category,8088,品安
C23040,DRAM銷售,category,8277,商丞
C23040,DRAM銷售,category,8271,宇瞻
C23040,DRAM銷售,category,5289,宜鼎
C23040,DRAM銷售,category,4967,十銓
C23040,DRAM銷售,category,8084,巨虹
C23050,IC-製造,category,2337,旺宏
C23050,IC-製造,category,2344,華邦電
C23050,IC-製造,category,7712,博盛半導體
C23050,IC-製造,category,2302,麗正
C23050,IC-製造,category,2434,統懋
C23050,IC-製造,category,2481,強茂
C23050,IC-製造,category,3675,德微
C23050,IC-製造,category,6573,虹揚-KY
C23060,IC-封測,category,2329,華泰
C23060,IC-封測,category,2369,菱生
C23060,IC-封測,category,2441,超豐
C23060,IC-封測,category,2449,京元電子
C23060,IC-封測,category,3264,欣銓
C23060,IC-封測,category,3372,典範
C23060,IC-封測,category,5344,立衛
C23060,IC-封測,category,6147,頎邦
C23070,IC-通路,category,3010,華立
C23070,IC-通路,category,3028,增你強
C23070,IC-通路,category,3033,威健
C23070,IC-通路,category,3036,文曄
C23070,IC-通路,category,3048,益登
C23070,IC-通路,category,3209,全科
C23070,IC-通路,category,3232,昱捷
C23070,IC-通路,category,3312,弘憶股
C23080,IC-其他,category,6231,系微
C23080,IC-其他,category,3289,宜特
C23080,IC-其他,category,6425,易發
C23080,IC-其他,category,3587,閎康
C23080,IC-其他,category,3714,富采
C23080,IC-其他,category,7734,印能科技
C23080,IC-其他,category,7728,光焱科技
C23080,IC-其他,category,3467,台灣精材
C23090,被動元件,category,2327,國巨*
C23090,被動元件,category,2375,凱美
C23090,被動元件,category,2428,興勤
C23090,被動元件,category,2472,立隆電
C23090,被動元件,category,2478,大毅
C23090,被動元件,category,2484,希華
C23090,被動元件,category,2492,華新科
C23090,被動元件,category,3026,禾伸堂
C23100,LED及光元件,category,2340,台亞
C23100,LED及光元件,category,2393,億光
C23100,LED及光元件,category,2426,鼎元
C23100,LED及光元件,category,2466,冠西電
C23100,LED及光元件,category,3031,佰鴻
C23100,LED及光元件,category,3066,李洲
C23100,LED及光元件,category,6164,華興
C23100,LED及光元件,category,6168,宏齊
C23110,連接元件,category,2328,廣宇
C23110,連接元件,category,2392,正崴
C23110,連接元件,category,2440,太空梭
C23110,連接元件,category,2460,建通
C23110,連接元件,category,2462,良得電
C23110,連接元件,category,2476,鉅祥
C23110,連接元件,category,3003,健和興
C23110,連接元件,category,3011,今皓
C23120,PCB-製造,category,2313,華通
C23120,PCB-製造,category,2316,楠梓電
C23120,PCB-製造,category,2355,敬鵬
C23120,PCB-製造,category,2367,燿華
C23120,PCB-製造,category,2368,金像電
C23120,PCB-製造,category,3044,健鼎
C23120,PCB-製造,category,3115,富榮綱
