Date,SectorName,PriceChange,TurnoverChange,FundFlow
2026-03-03,消費電子,-1.41,201.2,2505
2026-03-03,概念股_軍工,5.23,198.56,17866
2026-03-03,概念股_黃金,1.13,183.77,917
2026-03-03,航運,2.01,99.94,14704
2026-03-03,概念股_機器人,2.52,93.37,4208
2026-03-03,概念股_建材,1.62,65.65,151
2026-03-03,資訊通路,-0.38,64.59,374
2026-03-03,概念股_航太,0.64,52.2,6565
2026-03-03,概念股_旅展,-4.12,44.61,1416
2026-03-03,電子元件通路,2.02,42.09,125
2026-03-03,LCD-零組件,-3.27,41.35,727
2026-03-03,電腦周邊,-0.98,38.64,519
2026-03-03,概念股_石英元件,1.74,38.21,256
