Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-02-13,IC-半導體設備,,,,,,,,7.19,,,,
2026-02-13,IC-導線架,,,,47414,299,,,,,,,
2026-02-13,IC-製造,,,,,,28944,2629,9.33,,,,
2026-02-13,LCD-TFT面板,4.2,119.41,8956,,,,,,,,,
2026-02-13,PCB-材料設備,,,,213086,2005,10847,2030,,,,,
2026-02-13,塑膠,,,,,,8055,918,,,,,
2026-02-13,概念股_3DIC聯盟,,,,,,,,,-1794.0,,,2670.0
2026-02-13,概念股_3D列印,,,,,,35131,2491,,,10440.0,736.0,
2026-02-13,概念股_3D感測,,,,,,,,,1087.0,,,2184.0
2026-02-13,概念股_5G,,,,,,,,,,,666.0,
2026-02-13,概念股_ADAS,,,,,,33438,2487,6.56,,,,
2026-02-13,概念股_AI PC,,,,,,,,,,9274.0,3318.0,1706.0
2026-02-13,概念股_AWS,,,,,,,,,9066.0,,,2590.0
2026-02-13,概念股_Apple,,,,,,34739,1737,,,6971.0,,1543.0
2026-02-13,概念股_A股入摩,,,,,,,,,,12110.0,298.0,
2026-02-13,概念股_CES,,,,,,,,,,12450.0,1442.0,
2026-02-13,概念股_ChatGPT,,,,,,4824,1492,,,,,
2026-02-13,概念股_CoWoS,,,,,,,,,,,,2026.0
2026-02-13,概念股_DANCE,,,,,,,,,-1136.0,,,2141.0
2026-02-13,概念股_FOPLP扇出型封裝,,,,,,13056,981,,,,,
2026-02-13,概念股_GB200,,,,,,,,,5283.0,,,2218.0
2026-02-13,概念股_GB300,,,,,,11786,1206,,,14369.0,3153.0,90.0
2026-02-13,概念股_HPC,,,,,,,,,2905.0,,,2520.0
2026-02-13,概念股_Home Depot,-3.81,179.04,709,,,,,,,,,
2026-02-13,概念股_MIH概念股,,,,,,,,,,15588.0,795.0,
2026-02-13,概念股_MWC,,,,883133,180,37938,1191,,9019.0,,,2416.0
2026-02-13,概念股_Micro LED,,,,,,,,,,9934.0,361.0,
2026-02-13,概念股_MiniLED,2.78,82.08,14193,,,,,,,10123.0,357.0,
2026-02-13,概念股_Oracle甲骨文,,,,,,,,,,9834.0,474.0,
2026-02-13,概念股_PS5,,,,,,,,,3775.0,,,
