Date,Open,High,Low,Close,Volume
2026-01-02,29016.68,29363.43,29007.75,29349.81,10724729528
2026-01-05,29779.7,30339.32,29779.7,30105.04,12257092861
2026-01-06,29933.65,30576.3,29933.65,30576.3,12040596292
2026-01-07,30412.32,30570.26,30306.16,30435.47,14251362877
2026-01-08,30330.58,30593.49,30268.36,30360.55,13237635957
2026-01-09,30370.45,30500.42,29925.49,30288.96,11350115100
2026-01-12,30472.7,30681.99,30472.7,30567.29,10706885024
2026-01-13,30630.86,30973.85,30529.33,30707.22,12095287473
2026-01-14,30742.53,30994.81,30742.53,30941.78,11337766253
2026-01-15,30746.98,30877.31,30663.87,30810.58,11502671786
2026-01-16,30844.63,31475.22,30844.63,31408.7,12754630286
2026-01-19,31336.77,31827.39,31285.53,31639.29,13668186807
2026-01-20,31584.34,31759.99,31340.1,31759.99,13170800649
2026-01-21,31749.14,31749.14,31200.76,31246.37,14446040108
2026-01-22,31371.13,31890.62,31371.13,31746.08,13104288592
2026-01-23,31788.77,32042.44,31693.15,31961.51,12103342453
2026-01-26,32002.56,32196.75,31989.86,32064.52,11574650763
2026-01-27,32095.08,32428.17,32095.08,32317.92,12767369519
2026-01-28,32381.76,32803.82,32381.76,32803.82,12947973323
2026-01-29,32828.02,32996.03,32472.45,32536.27,13552952931
2026-01-30,32555.52,32555.52,32004.96,32063.75,13417799586
2026-02-02,32008.46,32008.46,31359.95,31624.03,11735154321
2026-02-03,31737.66,32293.83,31737.66,32195.36,11518844202
2026-02-04,32196.57,32380.0,31942.28,32289.81,10160254873
2026-02-05,32241.64,32241.64,31769.08,31801.27,11186277150
2026-02-06,31746.44,31842.62,31164.28,31782.92,10552234186
2026-02-09,31956.21,32666.05,31956.21,32404.62,9406563866
